feature_id,text_id,duplicate_group,source,split,baseline_active,direction,fraction,sign,dose,interaction_norm,normalization_only_norm,pre_norm_interaction_norm,beyond_gain_norm,max_constraint_error,combined_nll_change,context_nll_change
28027,3,3,fineweb-edu-sample,check,True,learned,0.005,-1,-0.1,0.0012702693091925816,7.088693975123647e-06,0.3557509517794334,0.00019361814305202896,4.024571609305711e-08,0.0003795623779296875,0.0004978179931640625
28027,3,3,fineweb-edu-sample,check,True,learned,0.005,-1,0.1,0.0013947533745972225,6.198883056640625e-06,0.3768312128608552,0.0001937943039708643,1.220376946823983e-08,0.0005779266357421875,0.0004978179931640625
28027,3,3,fineweb-edu-sample,check,True,learned,0.005,1,-0.1,0.0011581551022734674,5.245208740234375e-06,0.3316127383456045,0.0002851725850206074,1.2361974690212234e-08,-0.00109100341796875,-0.0010318756103515625
28027,3,3,fineweb-edu-sample,check,True,learned,0.005,1,0.1,0.0012128184626514801,9.5367431640625e-06,0.33940636781410005,0.0002875253743592214,1.2361974690212234e-08,-0.0010242462158203125,-0.0010318756103515625
28027,3,3,fineweb-edu-sample,check,True,learned,0.01,-1,-0.1,0.0025993784450171805,1.4668072142860436e-05,0.7212640729593984,0.0002891916665228843,6.720883045574867e-08,0.000392913818359375,0.00051116943359375
28027,3,3,fineweb-edu-sample,check,True,learned,0.01,-1,0.1,0.0029004234757439703,1.3436320117574092e-05,0.7727940609093864,0.0002838559983974527,4.64597256483317e-08,0.0006008148193359375,0.00051116943359375
28027,3,3,fineweb-edu-sample,check,True,learned,0.01,1,-0.1,0.00213764503861507,1.3164937679556391e-05,0.6215944281433359,0.0006269087914513787,3.91814086752982e-08,-0.0026111602783203125,-0.0026035308837890625
28027,3,3,fineweb-edu-sample,check,True,learned,0.01,1,0.1,0.00219003646140625,1.6872221005396015e-05,0.6275744612510982,0.0006229829296499912,3.5628224250101134e-08,-0.0026493072509765625,-0.0026035308837890625
28027,3,3,fineweb-edu-sample,check,True,random_0,0.005,-1,-0.1,0.0007258520412522373,4.978326086478496e-06,0.132440044765678,0.00020489151812494663,6.731775941008029e-08,-0.0030193328857421875,-0.0029010772705078125
28027,3,3,fineweb-edu-sample,check,True,random_0,0.005,-1,0.1,0.0007346091572892406,5.9604644775390625e-06,0.1364795363190269,0.00020564619174638765,3.7650663949197574e-08,-0.0028285980224609375,-0.0029010772705078125
28027,3,3,fineweb-edu-sample,check,True,random_0,0.005,1,-0.1,0.0008223954011054594,5.436780095573129e-06,0.14899142960247672,0.00023587236971394065,3.533934016395031e-08,0.0032196044921875,0.0033054351806640625
