feature_id,n_points,fit_status,converged,is_bimodal_candidate,gmm_random_seed,gmm_n_init,activation_population,activation_storage_mode,rank_censored,log_mean_low,log_mean_high,log_variance_low,log_variance_high,log_std_low,log_std_high,component_weight_low,component_weight_high,minimum_component_weight,mode_separation,n_iter_1,n_iter_2,bic_1,bic_2,delta_bic,bimodality_score,activation_min,activation_p50,activation_p95,activation_max,candidate_delta_bic_threshold,candidate_min_component_weight,candidate_min_separation,n_documents,discovery_variance_log1p,selected_candidate
297,1709,ok,True,True,20260907,5,analysis_activations,positive,False,4.733355115278407,5.9671762837218845,0.21527829870393025,0.2159703613873834,0.4639809249354226,0.46472611438069994,0.540802991520995,0.459197008479005,0.459197008479005,2.6570720776756036,2,4,3973.6040837952337,3856.711133844791,116.89294995044247,116.89294995044247,46.53656005859375,189.1649169921875,698.9294555664062,1066.283935546875,10.0,0.1,2.0,331,0.5939871,False
305,611,ok,True,True,20260907,5,analysis_activations,positive,False,4.624371315346529,5.757218693966264,0.1697925465639922,0.1918666786968638,0.4120589115211467,0.43802588815829574,0.3915113069773875,0.6084886930226125,0.3915113069773875,2.6640147682780086,2,4,1309.6112502959065,1277.7146339209426,31.89661637496397,31.89661637496397,50.57568359375,211.26083374023438,586.4005737304688,802.437255859375,10.0,0.1,2.0,215,0.48975605,False
313,1255,ok,True,True,20260907,5,analysis_activations,positive,False,4.505527915367957,5.601136269546193,0.13099664960217977,0.26571017709544187,0.36193459298909214,0.5154708304991097,0.5825633694637531,0.4174366305362468,0.4174366305362468,2.4600022026080266,2,4,2652.415603973341,2510.4313752574067,141.98422871593448,141.98422871593448,52.302337646484375,129.88421630859375,540.8505004882811,911.6795043945312,10.0,0.1,2.0,332,0.47951892,False
316,504,ok,True,True,20260907,5,analysis_activations,positive,False,4.516299488222633,5.706636460314338,0.18844351510126453,0.1517764841221212,0.4341008121407567,0.38958501526896694,0.4191757484269485,0.5808242515730515,0.4191757484269485,2.8860576450588216,2,4,1105.4552792640648,1058.2430892303294,47.212190033735396,47.212190033735396,40.7803955078125,200.38074493408203,499.18605041503895,800.8897094726562,10.0,0.1,2.0,131,0.51313305,False
322,9338,ok,True,True,20260907,5,analysis_activations,positive,False,4.378898901615413,5.1468541300908885,0.05979306467318399,0.11287661886971273,0.24452620447138992,0.3359711577944046,0.5438868478760892,0.45611315212391074,0.45611315212391074,2.6136224557013223,2,4,12807.004619656922,11672.418616863679,1134.586002793243,1134.586002793243,53.30438995361328,106.04480743408203,263.3365142822265,530.704833984375,10.0,0.1,2.0,496,0.2303315,True
337,3539,ok,True,True,20260907,5,analysis_activations,positive,False,4.734201028202588,5.921995281059653,0.22713208745724045,0.2270314945333099,0.47658376751337267,0.4764782204186356,0.4705293878959869,0.529470612104013,0.4705293878959869,2.4925854993976397,2,4,8123.041617245231,7929.537828236919,193.5037890083113,193.5037890083113,47.82879638671875,217.30157470703125,712.2938842773438,1393.078857421875,10.0,0.1,2.0,431,0.5787291,False
338,3123,ok,True,True,20260907,5,analysis_activations,positive,False,4.412207109064019,5.155086900871611,0.05497535108657768,0.13695326038733063,0.2344682304419464,0.37007196649750523,0.5898922528582566,0.41010774714174336,0.41010774714174336,2.398080081063044,2,5,4179.8632600933815,3695.5911851273922,484.2720749659893,484.2720749659893,57.109466552734375,101.9188232421875,265.1151947021481,587.01220703125,10.0,0.1,2.0,413,0.22217335,False
346,9836,ok,True,True,20260907,5,analysis_activations,positive,False,4.4969839176540365,5.321859552189019,0.07886228038776177,0.18877144460817605,0.28082428738939547,0.4344783591943056,0.5047467708405184,0.4952532291594815,0.4952532291594815,2.254929944578763,2,6,16199.791490497957,15267.422246663287,932.3692438346698,932.3692438346698,57.230804443359375,127.33511352539062,352.65174865722656,1907.9395751953125,10.0,0.1,2.0,485,0.30341434,True
347,7613,ok,True,False,20260907,5,analysis_activations,positive,False,4.4680556306922155,5.019873457522442,0.04326066148268051,0.1483982026972086,0.20799197456315596,0.3852248728953111,0.559044588664603,0.4409554113353969,0.4409554113353969,1.7825686705212858,2,6,7890.897331294397,6861.240103539676,1029.6572277547211,1029.6572277547211,62.6944580078125,103.60256958007812,231.29931030273437,2408.0107421875,10.0,0.1,2.0,472,0.16470668,False
353,5875,ok,True,True,20260907,5,analysis_activations,positive,False,4.497071556233662,5.388031190888322,0.10824588227114278,0.22331565661740266,0.3290074197812912,0.47256285996405034,0.5340045979259055,0.46599540207409457,0.46599540207409457,2.1882198486393785,2,5,10677.904111430002,10251.114662952776,426.78944847722596,426.78944847722596,51.66552734375,127.59100341796875,383.6817504882813,3098.40966796875,10.0,0.1,2.0,419,0.3594621,False
