feature_id,source,split,dose,fraction,endpoint,mean,low,high,documents
1645,fineweb-edu-sample,check,-0.1,0.005,interaction_norm,0.0028593947053537332,0.0008464448714166951,0.005823427934410151,8
1645,fineweb-edu-sample,check,-0.1,0.005,beyond_gain_norm,0.0012615890686247088,-7.025319655313044e-05,0.0031321538739802765,8
1645,fineweb-edu-sample,check,-0.1,0.01,interaction_norm,0.005197720775364019,0.0012642252358664775,0.010787409945224606,8
1645,fineweb-edu-sample,check,-0.1,0.01,beyond_gain_norm,0.0024588140143865784,-0.0005174270313359741,0.0066387432822285165,8
1645,fineweb-edu-sample,check,0.1,0.005,interaction_norm,0.002969867029672844,0.0009340002251811444,0.0057827866931480995,8
1645,fineweb-edu-sample,check,0.1,0.005,beyond_gain_norm,0.0010924881734067009,-0.00037141440373200034,0.003047155787797347,8
1645,fineweb-edu-sample,check,0.1,0.01,interaction_norm,0.005404800462705566,0.0017048395606037456,0.010646330235615915,8
1645,fineweb-edu-sample,check,0.1,0.01,beyond_gain_norm,0.002142346757648089,-0.0009218858936344208,0.006294287424475248,8
1645,fineweb-edu-sample,fit,-0.1,0.005,interaction_norm,0.0006959190421709021,-0.00010921666607949101,0.0018380276777770815,8
1645,fineweb-edu-sample,fit,-0.1,0.005,beyond_gain_norm,0.0003491284512048583,-0.0005401646762045043,0.0015863009019547697,8
1645,fineweb-edu-sample,fit,-0.1,0.01,interaction_norm,0.002012219911159169,0.000314938768004995,0.004116817747353463,8
1645,fineweb-edu-sample,fit,-0.1,0.01,beyond_gain_norm,0.0003671261765976888,-0.0007938406791519975,0.001534052519780048,8
1645,fineweb-edu-sample,fit,0.1,0.005,interaction_norm,0.0008597886334910525,-0.0001375369897262106,0.0023195514446842868,8
1645,fineweb-edu-sample,fit,0.1,0.005,beyond_gain_norm,0.0005605432962387341,-0.0004991909291369696,0.0019460616820099615,8
1645,fineweb-edu-sample,fit,0.1,0.01,interaction_norm,0.0020593300536298695,0.00012542525456248,0.004461639841178483,8
1645,fineweb-edu-sample,fit,0.1,0.01,beyond_gain_norm,0.0003646742443344767,-0.0009550383988266195,0.0017357825121029505,8
1645,wikimedia-en,check,-0.1,0.005,interaction_norm,0.0008685215022904728,6.320262463025675e-05,0.0018543241038788316,8
1645,wikimedia-en,check,-0.1,0.005,beyond_gain_norm,0.000541472154928296,-0.0004823526598226682,0.0016953294716996834,8
1645,wikimedia-en,check,-0.1,0.01,interaction_norm,0.0019598481354792785,0.00030542955390856866,0.003996347558756653,8
1645,wikimedia-en,check,-0.1,0.01,beyond_gain_norm,0.001413194552208371,-0.00032650607353921124,0.0036882628512986994,8
1645,wikimedia-en,check,0.1,0.005,interaction_norm,0.0007807152983989787,-0.00012713118282348075,0.0018535908808643834,8
1645,wikimedia-en,check,0.1,0.005,beyond_gain_norm,0.0004965731939221495,-0.00044300349714424615,0.001620306018835855,8
1645,wikimedia-en,check,0.1,0.01,interaction_norm,0.001897902431571102,5.1950477613169516e-05,0.004144632243388053,8
1645,wikimedia-en,check,0.1,0.01,beyond_gain_norm,0.0014291588653713224,-0.00021807903685348889,0.0036776932524596228,8
1645,wikimedia-en,fit,-0.1,0.005,interaction_norm,0.0010348749955297531,-0.0007682456180149193,0.0031113239767285505,8
1645,wikimedia-en,fit,-0.1,0.005,beyond_gain_norm,0.0007928709779008096,-0.0003767807552039496,0.0020017008761905202,8
1645,wikimedia-en,fit,-0.1,0.01,interaction_norm,0.0023895318325648025,-0.001478749031342284,0.006913237321921559,8
1645,wikimedia-en,fit,-0.1,0.01,beyond_gain_norm,0.0015686239621133986,-0.0006087839432451997,0.0038443240579961084,8
1645,wikimedia-en,fit,0.1,0.005,interaction_norm,0.0011290291498120785,-0.0006253220445980446,0.0032073481797823783,8
1645,wikimedia-en,fit,0.1,0.005,beyond_gain_norm,0.0008473565812743362,-0.0002900488022863292,0.0020485328010460694,8
1645,wikimedia-en,fit,0.1,0.01,interaction_norm,0.002593984000083996,-0.001236661665268107,0.0070882904225108385,8
1645,wikimedia-en,fit,0.1,0.01,beyond_gain_norm,0.0016389839253763212,-0.0005518830629288343,0.003943949675299798,8
2966,fineweb-edu-sample,check,-0.1,0.005,interaction_norm,-3.546890503412362e-05,-0.00010799101787691131,4.082533947021717e-05,8
2966,fineweb-edu-sample,check,-0.1,0.005,beyond_gain_norm,1.1951088413572085e-05,-6.0460204970593376e-05,0.00010061467214665097,8
