feature_id,direction,calibration,fit_documents,fit_digit,fit_word,mean,low,high,documents,leave_one_out_min,leave_one_out_max
1645,approx_spectrum_matched,pooled,16,-0.395946204662323,1.956753432750702,-5.063967272872505,-10.17385709090185,-0.9671064153518601,16,-6.0338264588251835,-3.4657345254059577
1645,approx_spectrum_matched,fineweb-edu-sample,8,-0.0035315752029418945,2.8691738843917847,-7.056663930748995,-15.185140988890897,0.31676776932608985,8,-9.293065174498237,-3.7659240285885835
1645,approx_spectrum_matched,wikimedia-en,8,-0.7883608341217041,1.0443329811096191,-1.6240570851477862,-6.860364624303172,2.6895853558750566,8,-3.055813255326001,0.5500317468154533
1645,leading_pc,pooled,16,0.16020983457565308,1.8283035606145859,10.224439154127644,-0.19998487805926027,27.071997575027822,16,2.845075217549364,11.806806064110337
1645,leading_pc,fineweb-edu-sample,8,-0.8580312132835388,3.593452274799347,-3.0468815116757573,-19.00679121313725,10.82073944911193,8,-7.065526977640638,2.270924925829033
1645,leading_pc,wikimedia-en,8,1.178450882434845,0.06315484642982483,0.7059589421584587,-6.760983469523975,10.467660293785013,8,-3.9926091452533705,2.6747445872897595
1645,learned,pooled,16,2.284720540046692,-1.5219282358884811,-2.566741320037317,-21.95088850575255,10.455299828955772,16,-4.729025136455366,5.438960781364046
1645,learned,fineweb-edu-sample,8,0.6271973252296448,0.4399418830871582,0.4385564153774901,-3.4978227807708198,3.879786122765182,8,-0.7773753536087293,1.9110326730004927
1645,learned,wikimedia-en,8,3.942243754863739,-3.4837983548641205,-32.01044633558553,-102.04540292087609,14.078649962135845,8,-41.0127068358458,0.9807668050526185
1645,random_0,pooled,16,-1.1612772941589355,0.9712334722280502,2.480944943114223,-3.8333894508860027,8.222579022867063,16,1.0552570685598777,4.940273651309636
1645,random_0,fineweb-edu-sample,8,-1.745767891407013,0.026017427444458008,3.478367993997587,1.033120761412265,6.572787967797086,8,2.495116976431691,4.013726399152268
1645,random_0,wikimedia-en,8,-0.5767866969108582,1.9164495170116425,-2.4023893268262966,-18.804895459548927,10.100676455778238,8,-6.5759251398731795,4.7685869978166595
