feature_id,direction,split,endpoint,mean,low,high,documents,leave_one_out_min,leave_one_out_max
1645,approx_spectrum_matched,check,odd_fraction,0.9742447920496807,0.9642444319660849,0.9840280835046504,16,0.9729022132326295,0.9764395755562147
1645,approx_spectrum_matched,check,k_digit,-0.5996245890855789,-4.66679222881794,2.3098119534552066,16,-1.2237091859181721,1.1056403319040935
1645,approx_spectrum_matched,check,k_word,-1.6908403486013412,-4.323412897065282,0.4411577712744472,16,-2.0983994007110596,-0.9184499581654867
1645,approx_spectrum_matched,fit,odd_fraction,0.9692961768552568,0.9452702246190274,0.9874468309469401,16,0.9674610929382969,0.9790819387615118
1645,approx_spectrum_matched,fit,k_digit,-0.395946204662323,-1.6477810218930244,0.6555452942848206,16,-0.6531755129496256,0.07274945576985677
1645,approx_spectrum_matched,fit,k_word,1.956753432750702,0.653214706107974,3.3508818596601486,16,1.5994707743326824,2.259039878845215
1645,leading_pc,check,odd_fraction,0.9534171236276325,0.9283333986003508,0.9746316876144243,16,0.9504391068142239,0.962059386380378
1645,leading_pc,check,k_digit,-0.1992732286453247,-3.8340913131833076,4.504721052944657,16,-1.9209702809651692,0.5031426747639974
1645,leading_pc,check,k_word,6.530942395329475,0.8523898664861917,15.503592649474733,16,2.645629644393921,7.448401053746541
1645,leading_pc,fit,odd_fraction,0.9565247135331398,0.9300689330640676,0.9783878037307627,16,0.9539337126949661,0.9645387573204278
1645,leading_pc,fit,k_digit,0.16020983457565308,-2.310529351234436,2.5428669527173033,16,-0.4414677619934082,0.8591691652933756
1645,leading_pc,fit,k_word,1.8283035606145859,-0.2533918246626854,3.6492785904556504,16,1.5131851037343342,2.3579180240631104
1645,learned,check,odd_fraction,0.9000776322448373,0.8561176902453742,0.9434065590825274,16,0.893814586376718,0.9125168783745506
1645,learned,check,k_digit,1.6143806278705597,-2.5717989541590214,5.890139285475013,16,0.3984967867533366,2.914067109425863
1645,learned,check,k_word,1.6341395676136017,-4.132826626300812,9.659118345007297,16,-1.6750057538350422,2.5682568550109863
1645,learned,fit,odd_fraction,0.8177530358393104,0.7053886620819977,0.9184082721870075,16,0.8057104725238717,0.857871146927664
1645,learned,fit,k_digit,2.284720540046692,-0.20758099853992462,4.308362398296594,16,1.8495241800944011,3.285376230875651
1645,learned,fit,k_word,-1.5219282358884811,-3.9672428742051125,0.7690014783293004,16,-2.036207914352417,-0.7407724857330322
1645,random_0,check,odd_fraction,0.9676681455818694,0.9499887049456827,0.9817880874890209,16,0.9656129844268847,0.9731496364586317
