,feature_id,decoder_norm,raw_pr,raw_entropy_dim,raw_n90,pca_pr,pca_entropy_dim,pca_n90,white_0.0001_pr,white_0.0001_entropy_dim,white_0.0001_n90,white_0.001_pr,white_0.001_entropy_dim,white_0.001_n90,white_0.01_pr,white_0.01_entropy_dim,white_0.01_n90,pc_head_1,pc_head_5,pc_head_20,pc_head_64,pc_tail_quarter
count,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0,65536.0
mean,32767.5,1.0000000181612694,747.8112523249454,1120.7750855285626,1106.2673034667969,595.9087107326394,1002.6035323980067,1034.799575805664,771.885413815228,1158.8717957003805,1091.045883178711,728.3765863332576,1124.8538256617605,1080.1910858154297,711.9681886806521,1113.4227817522674,1076.7536315917969,0.060925199250603385,0.06515588070404212,0.07885096227895737,0.11384041034588914,0.15650050161752993
std,18918.757957822356,6.886017123457106e-08,509.8628639052121,494.05548219536075,281.91085361690597,307.60031895856474,340.5590084323207,186.6420118717441,77.64628759362985,71.36356060492226,44.177043991511056,163.0936858887595,156.51280261151553,89.51746623426641,185.78479099621177,174.20495934732287,95.43998285755546,0.15790811211679695,0.15938273804594744,0.16240653421068782,0.1680828687826499,0.06456835942794774
min,0.0,0.9999993819924615,1.036322953782687,1.208135237140843,1.0,1.0305156753974847,1.1947649773108266,1.0,57.61342565410609,193.35533795531344,352.0,18.576265605653305,70.28261941616461,211.0,6.257573511950025,68.60186294205037,205.0,4.1377122549642065e-15,2.0943629235182526e-05,0.0013514209197747215,0.005609843762601668,0.0022473426977389164
5%,3276.75,0.999999909342287,5.761873196172466,95.4042458220513,578.75,5.798535445489783,104.53873330802591,644.0,610.3086768017599,1010.1797067511271,1001.0,360.10177465227315,783.7869043068899,901.0,279.3331159937453,725.888132323667,883.0,8.51141322034791e-06,0.0007166378791018925,0.005364378173707184,0.022210691348274855,0.03977831633625663
25%,16383.75,0.9999999745622719,284.60514578099406,860.3647044698741,964.0,362.51974968426657,932.1007074750719,1023.0,750.5699427058196,1145.7885996372042,1082.0,671.7445369224604,1086.1277616079967,1061.0,647.484292308373,1071.1608093438895,1056.0,0.00027377972238316027,0.002097280201713575,0.00889704380648193,0.029844000540482397,0.10531162205563145
50%,32767.5,1.0000000186246631,695.3310970961099,1136.6074016000393,1108.0,758.1643968288279,1165.9471293878405,1105.0,793.51604028063,1179.279624757448,1102.0,792.8136732579137,1185.8846491513036,1111.0,788.4750297319782,1183.1117889863287,1110.0,0.002716856767212065,0.006016819393710043,0.01622643788401747,0.044723086947614975,0.16706354733782075
75%,49151.25,1.0000000616222233,1245.5093677254886,1562.0515266093719,1338.0,835.9180013947431,1220.643889808737,1132.0,820.2579978952629,1200.641410200782,1117.0,839.0474225513414,1222.1804075467348,1133.0,839.4182155515122,1222.7470182743627,1133.0,0.028367027111270003,0.03484561607490432,0.05651532474151585,0.10891544548551507,0.21452127009793837
95%,62258.25,1.0000001247553127,1512.003205379119,1763.3540336109272,1471.0,877.6100415750951,1253.7321328135063,1155.0,851.9216860142352,1226.414290414169,1135.0,877.7184993436781,1253.0611233707846,1155.0,878.9220225712077,1254.2818424982172,1155.0,0.41447859996016123,0.4240320221029466,0.4509966652619608,0.5086908000329172,0.23758158759695028
max,65535.0,1.0000005386305721,1625.6044778160046,1868.8416663174983,1565.0,944.9940826551073,1305.0978047691642,1202.0,944.9753826325833,1307.5715369409836,1186.0,942.7646728557531,1303.9819623864357,1202.0,945.4034587007195,1304.3226750322563,1202.0,0.9850822078060574,0.9863354629648857,0.9872626408166079,0.9882095328129396,0.44779064943069324
