feature_id,control_id,match_status,match_distance,log_support_gap,log_documents_gap,control_definition
1076,637.0,matched,0.15705300406941425,-0.15693522739744145,-0.006081158519623527,prespecified_converged_separation_below_2
1844,1551.0,matched,0.3657095245038995,-0.3453016625486219,-0.12045836689091347,prespecified_converged_separation_below_2
863,,no_control_within_caliper,,,,prespecified_converged_separation_below_2
1645,1763.0,matched,0.03724646836821559,-0.02948957244385412,0.022752242152877244,prespecified_converged_separation_below_2
296,2966.0,matched,0.0679625099928501,0.023623296515064677,-0.0637247410845237,prespecified_converged_separation_below_2
12335,5482.0,matched,0.1142834824000655,-0.08477973821057348,-0.07663622079951952,prespecified_converged_separation_below_2
10392,18791.0,matched,0.06491186898373097,0.021821824938200004,-0.061133940583996446,prespecified_converged_separation_below_2
802,8441.0,matched,0.3767241959459757,-0.22795991347000677,0.29992565355749234,prespecified_converged_separation_below_2
575,,no_control_within_caliper,,,,prespecified_converged_separation_below_2
1635,858.0,matched,0.259039616641509,-0.2295409001090704,0.12005206440081613,prespecified_converged_separation_below_2
3136,5275.0,matched,0.06461796981209586,0.026434268919464005,-0.058963645149620714,prespecified_converged_separation_below_2
710,,no_control_within_caliper,,,,prespecified_converged_separation_below_2
8532,17446.0,matched,0.2900317526929565,-0.2760408805411416,0.08899353819362099,prespecified_converged_separation_below_2
28027,7087.0,matched,0.08372689290638037,0.08371266743859862,-0.0015433424996020375,prespecified_converged_separation_below_2
1892,,no_control_within_caliper,,,,prespecified_converged_separation_below_2
72,,no_control_within_caliper,,,,prespecified_converged_separation_below_2
35053,19741.0,matched,0.06520826813409597,0.06515040758540637,-0.0027463838958857955,prespecified_converged_separation_below_2
665,,no_control_within_caliper,,,,prespecified_converged_separation_below_2
1903,,no_control_within_caliper,,,,prespecified_converged_separation_below_2
2377,,no_control_within_caliper,,,,prespecified_converged_separation_below_2
7511,5609.0,matched,0.16714225656958695,-0.09174682374165677,0.13971060899048074,prespecified_converged_separation_below_2
17857,,no_control_within_caliper,,,,prespecified_converged_separation_below_2
6756,10345.0,matched,0.016287312244892438,0.010957376290998777,-0.012050412647709662,prespecified_converged_separation_below_2
2286,,no_control_within_caliper,,,,prespecified_converged_separation_below_2
