feature_id,source,n_low,n_high,encoder_decoder_cosine,shift_covariance_encoder_cosine,status,orthogonal_squared,total_squared,parallel_squared,p,null_mean,movable_fraction,tie_tolerance
72,fineweb-edu-sample,927,364,0.6067316964781921,0.8800713833234557,ok,41288.849856156376,262937.5967753543,221648.74691919793,0.0012,37400.50978945726,0.13400464756003097,4.1288849856156376e-06
72,wikimedia-en,1361,367,0.6067316964781921,0.9697874082957584,ok,61123.93320646677,611597.1679408369,550473.2347343701,0.0002,52009.37945766991,0.09027777777777778,6.112393320646677e-06
296,fineweb-edu-sample,1027,1022,0.19688113577238714,-0.2485242321332188,ok,246035.99343729345,248422.12447107318,2386.131033779731,0.0672,243372.00369134205,0.31137140068326014,2.4603599343729345e-05
296,wikimedia-en,707,1638,0.19688113577238714,0.16432231649478182,ok,381181.8231315699,428951.5654415661,47769.74230999624,0.0002,351334.9129779385,0.567590618336887,3.811818231315699e-05
575,fineweb-edu-sample,1666,1346,0.44107528979117877,0.985098050286272,ok,55302.750739777526,2300912.704853402,2245609.9541136245,0.0002,53148.013607794084,0.025232403718459494,5.530275073977753e-06
575,wikimedia-en,1785,1105,0.44107528979117877,0.990003619977033,ok,44838.841463368844,2749592.362750553,2704753.5212871847,0.14,44351.085927076165,0.027335640138408304,4.483884146336885e-06
665,fineweb-edu-sample,1603,1419,0.2877537938811877,0.6941478873647892,ok,72418.64592191637,204287.9841489078,131869.33822699136,0.0026,70221.30181371252,0.024818001323626736,7.2418645921916365e-06
665,wikimedia-en,1660,1025,0.2877537938811877,0.9635418071972732,ok,88223.33411280048,1337983.011455425,1249759.6773426246,0.178,87689.18022162255,0.027188081936685288,8.822333411280048e-06
710,fineweb-edu-sample,1531,307,0.5645908588518292,0.9580124194901595,ok,61297.49011335537,496999.08619336406,435701.59608000866,0.0002,53114.519404348226,0.06365614798694233,6.129749011335538e-06
710,wikimedia-en,484,45,0.5645908588518292,,insufficient_regime_support,,,,1.0,,,
802,fineweb-edu-sample,1637,385,0.643709905554884,0.9590684506631447,ok,52333.06798019493,156598.7003678744,104265.63238767945,0.3112,50224.38394533573,0.11918892185954501,5.2333067980194934e-06
802,wikimedia-en,780,101,0.643709905554884,-0.8840113700558291,ok,410628.3510083298,503848.23289473227,93219.88188640248,0.7904,417794.76984654553,0.03745743473325766,4.1062835100832976e-05
