feature_id,n_points,fit_status,converged,is_bimodal_candidate,gmm_random_seed,gmm_n_init,activation_population,activation_storage_mode,rank_censored,log_mean_low,log_mean_high,log_variance_low,log_variance_high,log_std_low,log_std_high,component_weight_low,component_weight_high,minimum_component_weight,mode_separation,n_iter_1,n_iter_2,bic_1,bic_2,delta_bic,bimodality_score,activation_min,activation_p50,activation_p95,activation_max,candidate_delta_bic_threshold,candidate_min_component_weight,candidate_min_separation,n_documents,discovery_variance_log1p,selected_candidate
15,22322,ok,True,True,20260908,5,analysis_activations,positive,False,6.2631189494967,7.415254423030425,0.1734503004971708,0.11067408299161705,0.4164736492230581,0.3326771452799501,0.3421364925628371,0.6578635074371628,0.3421364925628371,3.0567807739438266,2,3,44575.97325554187,39722.841334435645,4853.131921106222,4853.131921106222,259.3673095703125,1296.4622802734375,2629.5478759765624,3604.18798828125,10.0,0.1,2.0,4333,0.43094367,False
29,28373,ok,True,True,20260908,5,analysis_activations,positive,False,5.658838491014167,6.174647120281106,0.02397315915561144,0.09224726463823307,0.15483268116134732,0.3037223479400768,0.5891222900096142,0.4108777099903857,0.4108777099903857,2.1397467425042476,2,8,19523.438192839654,13007.866474754257,6515.571718085397,6515.571718085397,227.7779083251953,327.566650390625,695.5210815429685,1550.30908203125,10.0,0.1,2.0,2933,0.116429694,False
76,5738,ok,True,False,20260908,5,analysis_activations,positive,False,6.67439541992431,6.876980708260359,0.013265943654772341,0.009821709619469581,0.11517787832206469,0.09910453884393783,0.22296330686166282,0.7770366931383372,0.22296330686166282,1.8855280861365242,2,5,-6847.463873834797,-7040.633393662051,193.1695198272546,193.1695198272546,527.61962890625,916.0427856445312,1136.8919921874997,1423.7373046875,10.0,0.1,2.0,5738,0.017702099,False
83,17269,ok,True,True,20260908,5,analysis_activations,positive,False,5.582920933930148,5.988061476389483,0.01563379906184631,0.05694505287508337,0.12503519129367663,0.2386316258903739,0.6253241646690816,0.3746758353309183,0.3746758353309183,2.126746153482723,2,6,2997.1098249334423,-1034.6908233436322,4031.8006482770743,4031.8006482770743,220.15780639648438,290.3910827636719,519.0232421874999,1066.9776611328125,10.0,0.1,2.0,1136,0.06957165,False
87,99316,ok,True,True,20260908,5,analysis_activations,positive,False,5.7331624207003316,6.52910115474291,0.07294484740350958,0.1834097320262255,0.27008303797815514,0.42826362444903665,0.5866448416394765,0.41335515836052344,0.41335515836052344,2.2231772921727093,2,5,152648.2827877103,138820.2491486003,13828.033639110014,13828.033639110014,202.0452880859375,393.6568603515625,1150.9335327148438,3728.91796875,10.0,0.1,2.0,5511,0.27222854,True
88,36901,ok,True,True,20260908,5,analysis_activations,positive,False,5.5629842704691,6.065518275904598,0.023323784599417537,0.08533374381742515,0.15272126439830683,0.292119399933358,0.6068649953548674,0.3931350046451326,0.3931350046451326,2.156008862201641,2,7,22597.421871614246,14155.791291334624,8441.630580279621,8441.630580279621,207.307373046875,294.0599365234375,604.1448364257812,1460.7572021484375,10.0,0.1,2.0,3126,0.107954785,False
101,25135,ok,True,True,20260908,5,analysis_activations,positive,False,5.6080343209905,6.188743525993366,0.03618108609460194,0.09473159857145201,0.1902132647703675,0.3077849875667298,0.5953115565827631,0.4046884434172368,0.4046884434172368,2.269775184110988,2,5,22131.832078264506,18198.84233153325,3932.989746731255,3932.989746731255,202.28656005859375,321.40679931640625,707.5518066406249,1537.257080078125,10.0,0.1,2.0,2966,0.14112261,False
106,1983,ok,True,True,20260908,5,analysis_activations,positive,False,5.7277578447596555,6.31206161869995,0.02684867146743828,0.10785409946237569,0.1638556421593052,0.32841147888339056,0.5791352584016611,0.420864741598339,0.420864741598339,2.2514661631708046,2,11,1801.8848997944162,1325.885267058901,475.9996327355152,475.9996327355152,238.4771728515625,358.22314453125,824.7282348632809,1601.40966796875,10.0,0.1,2.0,697,0.14422746,False
127,838,ok,True,True,20260908,5,analysis_activations,positive,False,5.466493236733995,6.029179580981485,0.016849848268690876,0.13646586116500076,0.1298069654089906,0.3694128600427992,0.49044824129154924,0.5095517587084508,0.49044824129154924,2.032301065308187,2,17,839.6349505062294,585.435114922859,254.19983558337037,254.19983558337037,196.57275390625,278.8112030029297,715.3360290527343,1370.3017578125,10.0,0.1,2.0,259,0.15711206,False
129,97157,ok,True,True,20260908,5,analysis_activations,positive,False,5.637976777517482,6.403925957577086,0.0537674902186908,0.1980303311766268,0.23187817969505195,0.4450059900457822,0.6355371710803736,0.3644628289196264,0.3644628289196264,2.1586834868187688,2,6,137989.63714575177,113712.06110051574,24277.576045236026,24277.576045236026,199.15237426757812,329.4809875488281,1003.8315429687498,2616.350341796875,10.0,0.1,2.0,5204,0.24223563,True
132,31806,ok,True,True,20260908,5,analysis_activations,positive,False,5.510225473884176,5.793321883455756,0.0073638706646881975,0.03111143610087311,0.08581299822688983,0.17638434199461445,0.6066430207730189,0.39335697922698104,0.39335697922698104,2.0410719466207015,2,8,-15600.216008479536,-23621.448131797282,8021.232123317746,8021.232123317746,217.24630737304688,263.1824645996094,400.2589111328125,764.6695556640625,10.0,0.1,2.0,5022,0.03582972,False
141,179387,ok,True,True,20260908,5,analysis_activations,positive,False,5.724390484498425,6.257945397135373,0.029328555047265212,0.08410493149136708,0.17125581755743427,0.29000850244668186,0.5979236336956257,0.40207636630437427,0.40207636630437427,2.2403892509910017,2,5,128443.88089453522,97363.55393227507,31080.32696226015,31080.32696226015,235.13296508789062,354.5099182128906,734.2089843749997,2068.12744140625,10.0,0.1,2.0,4814,0.11978892,True
157,38089,ok,True,True,20260908,5,analysis_activations,positive,False,5.646447260118566,6.2166850756954455,0.027022685700100534,0.13535473305660023,0.16438578314471278,0.3679058752678465,0.5894788013168328,0.4105211986831672,0.4105211986831672,2.0012815681452727,2,10,35900.186960478735,25088.489491893815,10811.69746858492,10811.69746858492,222.41192626953125,323.1153564453125,773.9820068359375,2848.36669921875,10.0,0.1,2.0,3190,0.15018688,True
158,12824,ok,True,True,20260908,5,analysis_activations,positive,False,6.173447104021002,7.283390835609479,0.1576053133966172,0.26824050335896094,0.39699535689554005,0.5179193985157932,0.5384823884249291,0.4615176115750709,0.4615176115750709,2.405413632702543,2,4,27897.855805399762,26833.255287233333,1064.6005181664295,1064.6005181664295,247.5333251953125,754.1295776367188,3135.4327148437487,4277.9638671875,10.0,0.1,2.0,4379,0.51487404,False
160,12427,ok,True,True,20260908,5,analysis_activations,positive,False,5.785661708973761,6.3490126048068545,0.028247727705128504,0.10512926980883174,0.16807060333421936,0.3242364412104718,0.5910721650500607,0.4089278349499393,0.4089278349499393,2.1814914679812056,2,8,10528.038513963273,7703.3425936616895,2824.695920301583,2824.695920301583,253.75537109375,376.0618896484375,843.5924804687493,1829.474853515625,10.0,0.1,2.0,4027,0.13640554,False
165,561,ok,True,False,20260908,5,analysis_activations,positive,False,5.290087631030606,5.779546665984357,0.01850062366011858,0.1065262641115983,0.1360169976882249,0.326383614955773,0.6148016261128144,0.38519837388718553,0.38519837388718553,1.9576256063743003,2,9,362.0348086727346,190.3621407197304,171.67266795300418,171.67266795300418,162.55148315429688,215.8524169921875,461.0029296875,901.5977172851562,10.0,0.1,2.0,425,0.109336995,False
177,22806,ok,True,True,20260908,5,analysis_activations,positive,False,6.089021350114383,7.1853704109694245,0.12880642098691092,0.18231495021049232,0.35889611447731073,0.42698354793890164,0.5165366666081238,0.4834633333918763,0.4834633333918763,2.779706384967369,2,4,46773.98174475926,44178.1988029563,2595.782941802958,2595.782941802958,244.43408203125,719.0260009765625,2346.813720703125,3872.7158203125,10.0,0.1,2.0,4613,0.4548631,False
179,11536,ok,True,True,20260908,5,analysis_activations,positive,False,5.905657228413524,7.067082217222955,0.08007366808780406,0.16343545090048234,0.2829729105193712,0.4042715064167673,0.6116132766876762,0.3883867233123238,0.3883867233123238,3.328499906181191,2,4,23097.217156618266,19500.20544434103,3597.0117122772353,3597.0117122772353,244.6368408203125,481.81317138671875,1912.6902465820312,3026.481201171875,10.0,0.1,2.0,3475,0.4329094,False
212,25704,ok,True,True,20260908,5,analysis_activations,positive,False,5.589426258440592,5.931442067268633,0.010456258754873887,0.04737296662979517,0.10225584948976703,0.21765331752535996,0.5960198710008366,0.40398012899916336,0.40398012899916336,2.0113492644962543,2,9,-2281.729143586152,-8985.070146818563,6703.341003232412,6703.341003232412,229.72543334960938,289.6792907714844,484.308642578125,1052.6065673828125,10.0,0.1,2.0,3550,0.05353607,False
