pc,evaluation_variance,reconstruction_mse,r_squared
1,35625023.37272779,327023.2929387174,0.99082040481722
2,884998.3893852859,16462.37106371045,0.9813984169223798
3,479808.84129550523,12075.173983691948,0.9748333649895061
4,397099.5283437359,8509.364224636103,0.9785712054100697
5,287177.76864142634,7149.05022745867,0.9751058368435718
6,246711.15814077362,10210.80520736896,0.9586123088865617
7,238312.17536459264,10999.279223884203,0.9538450806927659
8,233724.1688296995,10551.153282433257,0.9548563876159455
9,193086.2093977719,8089.1597123976735,0.9581059686363546
10,186930.54282844212,6529.297674166075,0.9650709960214559
11,185683.27225014876,7821.218070921094,0.9578787147805942
12,177253.1744906774,8159.414121349704,0.9539674584401937
13,163696.55509482505,8525.100835216945,0.947921318012596
14,155237.42734602687,9209.820834344457,0.9406726780274733
15,152744.41636971472,8177.484335171225,0.9464629573405957
16,139357.63256993427,7965.065967098666,0.9428444225105393
17,127935.39926393257,7733.432490310317,0.939552050997581
18,132286.57623450868,7583.897455221224,0.9426706951597492
19,128849.12193838567,7911.3482922322455,0.9385999052751375
20,123290.01993257417,7943.479644255243,0.9355707814095623
21,121920.94389513657,8790.0760537977,0.9279034776719085
22,113331.2387245128,7432.180524385859,0.9344207245236937
23,108335.20251343734,7435.652786553809,0.9313643892839769
24,103597.81641939981,8266.745746993693,0.9202034750083241
25,104122.90791738502,7076.447469722338,0.9320375543551179
26,97696.23882515595,7977.704105452717,0.9183417478360638
27,98043.68231224462,7837.561824947844,0.9200605113954495
28,96664.77300780767,7290.878210486299,0.9245756444294613
29,98935.32056641487,7728.535326483447,0.9218829505758228
30,89837.97904870473,7537.138605560976,0.9161029813295912
31,88771.76557782236,7760.859250600819,0.9125751391775889
32,88566.01856081419,7644.04302359605,0.9136910166245393
33,91302.82431256975,7613.052816607397,0.9166175540140514
34,86768.83261247346,7897.767043633067,0.908979217469641
35,82254.31832907439,7832.71975858124,0.9047743642194574
36,84894.0640875275,7099.079617893169,0.9163771967546062
37,85104.9983864055,6892.679835434149,0.9190096943056264
38,81664.94234483819,7903.098803890259,0.9032253182703704
39,80603.5942306662,7302.6304798088,0.9094006843055832
40,76742.53398006094,8017.748862103895,0.8955240536599033
41,76396.50738134557,7923.316649174055,0.8962869256624059
42,74216.94863230488,6599.187745529865,0.9110824701481004
43,72454.52691371314,7771.9484174381705,0.892733432285137
44,74537.33386695397,8204.792470814215,0.889923719495261
45,70674.69879748748,7434.630838725999,0.8948049165369729
46,68997.10464700276,7357.529800388142,0.8933646587341582
47,71706.03907417392,7898.919677399406,0.8898430344307733
48,73782.01076773419,7920.06039506691,0.8926559426524812
49,66677.84970803162,7933.1595979216245,0.8810225639750041
50,66229.06450872503,7501.884320188948,0.8867282155374451
51,69050.5387544311,7327.930086131869,0.893875844876567
52,64289.05501651474,7219.296826707947,0.88770566273134
53,65220.66790946586,7051.032284095925,0.8918896032484119
54,65893.6271824404,7280.836613431874,0.8895062098604264
55,62825.71557341911,7619.507894532463,0.8787199186672504
56,61520.196169605384,7086.1021823503415,0.8848166517087392
57,61608.31821422127,7663.1786497470985,0.8756145456998017
58,63991.66766693154,6953.205712286981,0.8913420142685212
59,60645.83406315238,7656.996726439776,0.8737424120762144
60,59109.985694514384,7326.517742567088,0.8760527911403806
61,59880.030095276175,7058.719323355292,0.8821189750218221
62,60901.80475208615,7239.908036013348,0.8811216175697101
63,61373.82662124635,7402.385766100456,0.879388557409293
64,56157.9100369086,6953.890570047263,0.8761725540448894
65,58093.733934276745,7027.861545509669,0.8790254805542279
66,56972.02824825143,7127.892566516373,0.874887856625762
67,57079.72275796022,7164.993482143313,0.8744739263621581
68,57982.16874383669,6999.052490779582,0.8792895705281194
69,56038.03078621924,6938.340789229233,0.8761851426275404
70,53772.35611504773,7139.803766428803,0.867221667744055
71,54331.22094556826,7177.492966788594,0.867893766385641
72,54533.17892651936,7465.043574143823,0.8631100603138764
73,52566.46388607907,7069.35905610059,0.8655157959374792
74,51246.702115412685,6954.764655565045,0.8642885421211648
75,53758.73754107692,6750.164262239327,0.8744359601621682
76,51248.499616323956,7180.624319239198,0.8598861552436164
77,49879.540933765784,7340.150032011201,0.8528424701871642
78,52564.74756111946,6485.193705214163,0.8766246580434248
79,49942.665890129225,6964.6098887355265,0.8605478949790699
80,50321.96291924889,6814.734371535342,0.8645773341061661
81,49920.60445308863,7115.654563734271,0.8574605688033887
82,50331.9114942261,7095.972932373247,0.8590164227482743
83,50208.16011306458,7421.229754584112,0.8521907646511618
84,47810.46339634367,6833.895865916183,0.85706275613219
85,47338.16976446679,6550.483600043084,0.8616236404441635
86,46906.970046787734,6406.483475546194,0.8634215028351651
87,47257.047014825075,6455.515141242635,0.8633957145223766
88,48886.9265125669,7040.081797826939,0.8559925464731923
89,46519.481562685156,6947.77441130307,0.8506480687679006
90,44321.43573114087,6787.192747190563,0.846864330199895
91,45145.43293313407,6682.36494262291,0.8519813742284781
92,45819.67218467725,7041.0263907188755,0.8463318034590065
93,44330.895940643495,7412.914329183265,0.8327822126782927
94,44252.221195177626,6770.814497108842,0.8469949233227034
95,44430.36831659453,6593.994414907169,0.851588121711691
96,44304.165255846536,6772.126191353466,0.8471447063217201
97,43147.145328276805,6894.288630574658,0.8402144897855749
98,42044.394442472054,6696.461489996067,0.8407287920591029
99,44406.00266394994,6676.08457317154,0.8496580603371585
100,43667.88967070413,6804.018093744293,0.8441871557097717
101,43519.07330811038,7080.621814654307,0.8372984239686295
102,42749.92841536434,6351.528820523568,0.8514259776341326
103,42492.0367981716,6854.157794757368,0.8386954754060578
104,43070.993802792735,6628.152446723514,0.846110993466472
105,42065.99145623418,6634.732106375796,0.8422780047088958
106,44756.363217543636,7586.9794629198905,0.8304826639724395
107,42274.60318970525,7105.955013595843,0.83190959873217
108,41019.73692088934,6410.372259195164,0.8437246862026881
109,41068.31155485993,6969.444503382651,0.8302962980576224
110,38615.19426790401,6752.081159938162,0.8251444466886879
111,39908.52130794381,6760.52612679413,0.8305994332732032
112,38252.37370623045,6329.180928058112,0.834541485538524
113,41431.188306982425,7163.491621395616,0.8270990547430582
114,40879.655341885,6858.48040386111,0.8322275384539761
115,38642.16200572395,6832.980211698243,0.823172931921198
116,38586.22923429841,6452.545475134048,0.8327759513386571
117,37410.86159660867,6723.697579753338,0.8202741852819865
118,38911.898327857365,6810.408416381249,0.8249787671883996
119,38368.36205881061,7158.510828099553,0.8134267285862486
120,38335.61024188237,6790.7135364116775,0.8228614728299617
121,36916.44842419618,6866.205746928764,0.8140068711910965
122,36615.20137715339,6190.506430641009,0.8309307009709997
123,37508.52418704757,6377.296231267572,0.8299774152812502
124,38582.399767608134,6615.515599167637,0.8285354037329297
125,37705.699053730816,6351.935571550732,0.831539111302533
126,37710.52269910292,6541.267073156279,0.8265400051505548
127,37703.50852207146,6900.119638235041,0.8169899855819587
128,37531.58222168054,6579.634154193962,0.8246907333847182
129,35945.90251391752,6103.8538015320555,0.8301933356891299
130,36985.67717536105,6343.483782824008,0.8284880995216743
131,37220.50579382761,6259.909875332469,0.8318155612928138
132,36549.07112619654,6637.270963444797,0.8184011040792899
133,35714.395765976114,6511.630657189215,0.8176749034238843
134,36243.115374424015,6648.812204165838,0.8165496498996396
135,35450.271823683615,6082.7470859367495,0.8284146559950215
136,35023.94612000155,6522.477506946014,0.8137709130605034
137,33837.807174151516,6434.2857786912555,0.8098492096259013
138,34895.00835731129,6236.026463565991,0.8212917331982985
139,34119.20080872047,6500.5397456207675,0.809475615151006
140,34538.67891456724,6582.787457298444,0.8094082442011976
141,34842.344368928076,6599.298641764621,0.8105954475425659
142,36350.416514834666,6867.748767712689,0.8110682235261335
143,33545.936311426165,6409.736237987445,0.8089265961014716
144,33728.67985242635,6269.210170291814,0.8141282078717106
145,34197.973079424984,6430.619246269998,0.8119590529141932
146,33944.64968737821,6236.923434704404,0.8162619590378772
147,33880.01644510836,6167.033646608979,0.8179743018542902
148,33822.82916595887,6231.315726287732,0.8157659817364047
149,34141.52971632118,6212.659229271112,0.8180321947817943
150,34324.59799674322,6841.333289246253,0.8006871547368051
151,33489.052480293976,6165.956992659157,0.8158814138952601
152,33955.292406303786,6436.413321223594,0.8104444737448742
153,32412.721188802276,6186.211419768685,0.8091424850220272
154,33916.73949923918,6615.786256248476,0.8049403818313113
155,33495.00791490145,6222.973505454379,0.8142119111819685
156,33043.397695237974,6136.088917513222,0.8143021194700713
157,32105.1936704382,6287.403297961949,0.8041624242325858
158,31468.652006392345,6197.969226837769,0.8030430656648797
159,31684.57305598929,6095.248207921708,0.807627257683072
160,31991.24725757021,6038.789838467511,0.8112361862653377
161,31536.089829029253,6414.368958007357,0.7966022740047223
162,31674.002893261157,6546.286752611951,0.7933230360976978
163,31808.892612710555,6435.951463156489,0.7976681696682286
164,31682.26901161804,6372.271683588629,0.7988694660331339
165,31598.253246367087,5914.947871521965,0.8128077579034525
166,31716.10476732525,6497.145249123319,0.795146809584989
167,30937.242180488865,6075.837649767508,0.8036076514409114
168,30848.398905875994,6128.23101074601,0.8013436279320576
169,30872.953816772984,6249.115442035903,0.7975860852471843
170,30521.25773848664,6249.943528308027,0.7952265407323964
171,30166.058308219664,6143.131062593665,0.796356189468752
172,30859.789303718604,6456.243708335198,0.7907878227944602
173,31137.220257406865,6157.158466643726,0.8022572851480192
174,28827.734411529258,6348.858328857762,0.7797656160479047
175,30127.060350963075,6337.675021368819,0.7896351337455922
176,30182.2572760579,5924.201492630624,0.8037190711600619
177,30091.0589752786,6111.928963200533,0.7968855476897039
178,30313.035741749205,5986.084477701293,0.8025244146215008
179,28907.40863100779,6070.560095675481,0.7899998518316221
180,28750.511164678162,6253.403049444224,0.7824941958900915
181,29685.2246823869,6283.758437071994,0.7883203342974753
182,29261.52067306089,6198.250119073216,0.7881774433965243
183,29993.351837953654,6285.955301298872,0.7904217129429125
184,30241.226628111912,5971.861802367485,0.8025258077059576
185,29630.1872842629,6045.30479607232,0.795974803058937
186,29998.47541488587,6106.558604944487,0.7964377015668508
187,29091.197841886686,6069.361294236532,0.7913677763554439
188,28749.758312332964,6127.741693728967,0.7868593667063868
189,28718.748858365954,6169.052703506083,0.7851907569535712
190,29035.678426945124,6016.593653508601,0.7927861865309405
191,28480.479052162773,6118.800556418875,0.7851580886258225
192,28586.142157553124,5839.413149599457,0.7957257360081885
193,27936.00527674944,6274.194876454684,0.7754083014268126
194,28273.06422326075,6180.78698085495,0.781389561030675
195,28206.232356421515,5978.531688575215,0.7880421740476046
196,27710.203668601276,5965.011361102781,0.784735924988462
197,27806.640786023472,5816.584426818881,0.7908203126160249
198,28069.54322287893,6195.535604309958,0.7792790728685567
199,28443.800479452366,5943.620986320817,0.7910398439683033
200,27614.825312880155,5998.123091621326,0.7827933719057903
201,27735.78636028775,5902.65561204052,0.7871826839388995
202,27594.088836088693,6005.150818882251,0.7823754625654293
203,27163.650457350042,5856.435697571923,0.7844017428081995
204,26941.33497867649,5582.307705419346,0.792797657954306
205,27156.02128175358,5907.0670049004275,0.7824767132264162
206,26984.30783237995,5953.843207004244,0.7793590540106461
207,27705.308759951167,5949.944246599955,0.7852417275637522
208,28077.715441648994,5962.178655767206,0.7876544240873947
209,27396.824553071867,5670.008309953426,0.7930414052559359
210,26654.851700516218,6228.641030631789,0.7663224278786305
211,26662.107320740877,6118.975858662298,0.7704991662867455
212,27514.66359770099,6024.870847844221,0.7810305466228693
213,25680.418923683166,5876.763829727018,0.7711577896298526
214,26069.59724378199,6258.961687825472,0.7599133722973671
215,27021.992153708437,6150.363781508266,0.7723941393172152
216,26836.31313327638,6086.190895258513,0.7732106170831722
217,26093.574320101907,5699.310060675046,0.7815818564847046
218,24825.322692203645,5926.758566164783,0.7612615699039403
219,27144.413226261884,6138.737979260621,0.7738489342874626
220,25501.319013422017,5977.530509645642,0.7655991634589759
221,25935.621012293617,6090.781320213025,0.7651576834298295
222,26405.366873746716,5855.42279532878,0.778248761953371
223,26698.746865780457,5944.144872514098,0.7773624019735302
224,25704.975444975025,5776.359634211953,0.7752824294044929
225,26019.13762695731,5645.018814516762,0.7830435852467224
226,25609.04599446596,5829.149142775815,0.7723792934717101
227,24970.93516829068,5985.187730500045,0.7603138332560195
228,24874.15554501775,6163.515431833862,0.7522120732629896
229,25106.871238191598,5915.293668680796,0.7643954273488812
230,24155.417825266868,5963.022066870544,0.7531393532496404
231,25742.88563763365,5855.122584083424,0.7725537584829343
232,25071.01763440481,5740.761024698297,0.7710200236618922
233,25352.5902318053,5713.016603386172,0.7746574787368635
234,25591.597578661356,5981.299744273515,0.7662787668535078
235,25297.717613870027,5754.013298336051,0.7725481252434692
236,24992.60539556166,5594.08953470745,0.776170213302336
237,25403.408630065736,5515.5377870154,0.7828819798423592
238,24390.65150688142,5846.251266619033,0.7603077037540547
239,24521.209455486278,5961.729642736055,0.756874567971108
240,24877.434144143277,5850.71759702687,0.7648182861975633
241,25242.68719783102,5732.566265499151,0.7729019014270508
242,23939.004739926615,5720.549981276184,0.7610364322400096
243,24135.800032630486,5685.5978383821885,0.7644330069566568
244,25809.38231298439,5793.882657985285,0.7755125408378932
245,23799.89510491285,5819.3354135698355,0.7554890310265027
246,24215.525474913426,5655.454537410701,0.7664533630183006
247,24425.68284466623,5891.620297486353,0.7587940392514804
248,24128.374437788847,5831.390658724783,0.7583181298118491
249,23267.192939269833,5589.701109374788,0.759760400665238
250,23678.525688858255,5899.254638914895,0.7508605596297432
251,24392.498778313275,5689.511256314211,0.7667516022846907
252,24107.204810414536,5835.798289374911,0.7579230634464187
253,23978.131586096915,5602.7067913329065,0.7663409773519849
254,23432.327477929884,5762.971499797355,0.7540589382243269
255,23580.99893204154,5894.197135508992,0.750044637528055
256,24335.829843310974,5771.096044668906,0.7628559994942943
257,24039.049893199302,5551.61347317101,0.7690585319371722
