feature_id,control_id,match_status,match_distance,log_support_gap,log_documents_gap
141,,no_control_within_caliper,,,
1247,,no_control_within_caliper,,,
4714,,no_control_within_caliper,,,
129,,no_control_within_caliper,,,
839,,no_control_within_caliper,,,
1199,,no_control_within_caliper,,,
1827,,no_control_within_caliper,,,
905,,no_control_within_caliper,,,
2193,,no_control_within_caliper,,,
6846,,no_control_within_caliper,,,
1284,,no_control_within_caliper,,,
7122,,no_control_within_caliper,,,
87,,no_control_within_caliper,,,
14064,,no_control_within_caliper,,,
34492,,no_control_within_caliper,,,
6629,,no_control_within_caliper,,,
252,,no_control_within_caliper,,,
21515,,no_control_within_caliper,,,
1772,,no_control_within_caliper,,,
2241,,no_control_within_caliper,,,
25249,,no_control_within_caliper,,,
11908,,no_control_within_caliper,,,
6903,,no_control_within_caliper,,,
157,,no_control_within_caliper,,,
