pc,evaluation_variance,reconstruction_mse,r_squared
1,28740897.313364837,158511.97419007492,0.9944847938301368
2,186052.6133503031,6233.242108447019,0.9664974224430217
3,109663.54864423854,2623.4771728123574,0.9760770355761218
4,88388.91519742206,4886.6764696517985,0.9447139218901249
5,68986.66068446662,3833.0035057570203,0.94443848321216
6,63538.16936602538,4044.8262378926065,0.9363402144214841
7,60078.2939432901,3967.0774359842944,0.9339682075571428
8,54722.53917584753,3340.6074303248956,0.9389537203383407
9,53356.5315554553,3649.8796793958772,0.9315945101191139
10,46141.29994863688,3302.145254634842,0.928434065396712
11,45228.20301869886,3562.2449189076533,0.9212384158301646
12,43102.51368923462,3098.6454947516145,0.9281098657704148
13,39233.90654608226,3376.764127323875,0.9139325031689697
14,39991.183243461055,3157.030419650064,0.9210568389429621
15,36422.654149550435,3140.593432646476,0.9137736250699555
16,35717.832442918974,3393.3302864204793,0.904996186657088
17,33028.05497145952,3084.5342054067005,0.9066086632085318
18,32110.087060535192,3202.3374682687368,0.900270047158964
19,32755.27051368085,2844.415710350886,0.9131615869524612
20,30167.41037212437,3069.678762329235,0.8982452015448528
21,30408.63093258427,2953.067454740302,0.9028871947149731
22,29129.77539508307,3213.7494972537224,0.889674758776335
23,27899.567546441456,2860.1259270655064,0.8974849369150774
24,27547.555088758087,3013.754970291999,0.8905980962527638
25,28341.834761177946,3446.336443582813,0.8784010819121868
26,23988.49073401694,2687.0524216435024,0.8879857656975009
27,23592.06699192575,2864.737971345807,0.8785719804743582
28,23352.443413392553,2607.992580822273,0.8883203554054392
29,23786.295558294525,3157.330246232461,0.8672626328679639
30,22981.46462724742,3319.3473234746048,0.8555641523587186
31,21595.18685152849,2842.8855839047037,0.8683555922229269
32,21925.867481283192,2679.292511896938,0.8778022117398963
33,21947.835788677923,2380.1615060271224,0.891553703565845
34,21160.621707497918,2588.5489071610305,0.8776714151908013
35,20950.034463295695,2913.3838248088673,0.8609365617076624
36,19286.62341706907,2493.8647656549692,0.8706945891084363
37,19721.80148196852,2678.2635924042293,0.8641978221486032
38,19434.034322204287,1999.1114097449245,0.8971334836297553
39,19929.443653468843,2862.4710599675923,0.8563697457018896
