feature_id,source,n_low,n_high,documents_low,documents_high,assignment_rate,token_identity_p,token_identity_null_mean,token_identity_null_p95,token_identity_movable_fraction,js_ci_low,js_ci_high,js_bootstrap_se,js_bootstrap_bias,js_bootstrap_percentile_low,js_bootstrap_percentile_high,bootstrap_valid,null_excess,null_excess_kind,js_bits,neighbor_jaccard,shared_rank_spearman,shared_neighbors,cosine,conditional_l1,conditional_mass_change,status,partner_count
1247,wikimedia-en,1894,962,1894,962,1.0,0.0001,0.07902389023824856,0.08048566137978506,0.20553221288515405,0.08172879055688034,0.09689250915352368,0.0038682955603682005,0.020399207496446997,0.10245078577621745,0.11743097264503662,1000,0.010286759616953453,token_identity,0.08931064985520201,0.2903225806451613,0.6166666666666666,9,0.8846671493302845,30.40606840290051,6.237678015925113,ok,3986
1284,fineweb-edu-sample,1822,1126,1822,1126,1.0,0.0001,0.04228572391116561,0.04401107327011067,0.4559023066485753,0.05664795896988639,0.06704984081432132,0.002653541286845646,0.021012170259809206,0.07790311614682045,0.08811844636616172,1000,0.019563175980938242,token_identity,0.061848899892103855,0.42857142857142855,0.6713286713286714,12,0.9010735873997484,24.338080262354914,2.891109841623887,ok,4259
1284,wikimedia-en,1831,581,1831,581,1.0,0.0001,0.07042196985366465,0.07345798730245039,0.3959369817578773,0.09696215981537068,0.11642612959219517,0.004965298412455229,0.028361236734847903,0.12583006569436794,0.14527952523466572,1000,0.03627217485011827,token_identity,0.10669414470378293,0.3333333333333333,0.35757575757575755,10,0.85598969652275,29.469760135964002,1.7817215652028366,ok,3408
1772,fineweb-edu-sample,1021,161,1021,161,1.0,0.0655,0.10686296192486638,0.10969582131984301,0.07529610829103214,0.09076556258547969,0.12818123622624997,0.009544814704278136,0.06461205739382271,0.15722190064614028,0.19441136932974593,1000,0.0026104374809984426,token_identity,0.10947339940586483,0.42857142857142855,0.06666666666666667,12,0.8556897016603495,23.30416532324295,3.913530152511548,ok,2015
1772,wikimedia-en,1074,212,1074,212,1.0,0.0001,0.14388729496014635,0.14693738773452245,0.07387247278382582,0.1339300320020353,0.1733059216531146,0.0100448698089488,0.04349579381520763,0.17867768574568815,0.21752228955152353,1000,0.009730681867428592,token_identity,0.15361797682757494,0.14285714285714285,0.7,5,0.7959373486704495,31.178560134921476,-1.567232353044517,ok,2038
1827,fineweb-edu-sample,1698,1282,1698,1282,1.0,0.0001,0.059173366418794525,0.060657633962580865,0.31912751677852347,0.06288600369136116,0.07565056313305282,0.003256265163696853,0.021657316654963732,0.0846574609759812,0.09753666792058788,1000,0.010094916993412466,token_identity,0.06926828341220699,0.6,0.823950284328632,15,0.9085081482919193,23.98080149354384,1.908136396127226,ok,4288
1827,wikimedia-en,1586,821,1586,821,1.0,0.0001,0.13982304078294244,0.14190496404520928,0.2912339011217283,0.13892383434404112,0.1631925884432285,0.006191008698772289,0.02171932666727036,0.16089023752850026,0.18445021650557544,1000,0.011235170610692374,token_identity,0.15105821139363482,0.2903225806451613,0.6778302010921357,9,0.7839436929715087,32.39311315668617,1.879030585835558,ok,3211
2193,fineweb-edu-sample,1740,480,1740,480,1.0,0.0001,0.09691643931211992,0.09870288032880212,0.027477477477477478,0.09197045607633038,0.10990992769934525,0.004576395822197675,0.032449374982999546,0.12465017699827562,0.1421667307111044,1000,0.0040237525757178955,token_identity,0.10094019188783782,0.3333333333333333,0.6121212121212121,10,0.8710905245057966,29.101293103448274,3.0304597701149376,ok,3403
2193,wikimedia-en,1622,1027,1622,1027,1.0,0.0001,0.08577228592007255,0.08738146245390933,0.07097017742544356,0.08464660462250473,0.0979108576031357,0.0033837380052630047,0.019150318220891735,0.10396100916695934,0.11683719501996744,1000,0.005506445192747664,token_identity,0.09127873111282021,0.3793103448275862,0.5375868161422822,11,0.878149373081039,29.5497828663088,4.975853556922409,ok,3630
2241,fineweb-edu-sample,1434,316,1434,316,1.0,0.0001,0.08191824580097187,0.0846187516687289,0.13485714285714287,0.07844629521533669,0.10197462221415562,0.006002124234392589,0.03959521811909507,0.11908363785741082,0.14112575495333451,1000,0.008292212913774286,token_identity,0.09021045871474616,0.25,0.5269555552418339,8,0.8609874294569034,27.853251946401144,5.977194887276454,ok,2875
