feature_id,n_points,fit_status,converged,is_bimodal_candidate,gmm_random_seed,gmm_n_init,activation_population,activation_storage_mode,rank_censored,log_mean_low,log_mean_high,log_variance_low,log_variance_high,log_std_low,log_std_high,component_weight_low,component_weight_high,minimum_component_weight,mode_separation,n_iter_1,n_iter_2,bic_1,bic_2,delta_bic,bimodality_score,activation_min,activation_p50,activation_p95,activation_max,candidate_delta_bic_threshold,candidate_min_component_weight,candidate_min_separation,n_documents,discovery_variance_log1p,selected_candidate
273,4156,ok,True,True,20260908,5,analysis_activations,positive,False,4.941383889029522,5.58855827855609,0.04782536639761371,0.11742513042151739,0.21869011499748614,0.34267350411363495,0.6009392832139226,0.3990607167860773,0.3990607167860773,2.251463618763273,2,5,4591.730781221873,4012.788314583785,578.9424666380883,578.9424666380883,98.08990478515625,168.26239013671875,394.1371765136719,932.840576171875,10.0,0.1,2.0,1328,0.17608269,False
285,21579,ok,True,True,20260908,5,analysis_activations,positive,False,5.442817744707356,6.660116203770205,0.21905181552510525,0.1709454943237915,0.46802971649790065,0.41345555302086767,0.4302284391343149,0.569771560865685,0.4302284391343149,2.7566476852437067,2,4,48548.46216929062,46081.29165229463,2467.1705169959896,2467.1705169959896,98.76092529296875,498.44097900390625,1377.9158691406246,2025.989990234375,10.0,0.1,2.0,4582,0.55490774,False
293,12045,ok,True,True,20260908,5,analysis_activations,positive,False,4.84670989146052,5.159468885921814,0.008612114107750585,0.038624156459293416,0.09280147686190444,0.19653029399889835,0.6154855117476189,0.38451448825238116,0.38451448825238116,2.0351058619135656,2,8,-3615.176145613124,-6895.03901918292,3279.862873569796,3279.862873569796,110.45582580566406,135.5890350341797,216.790103149414,374.3612060546875,10.0,0.1,2.0,3208,0.04330475,False
296,25811,ok,True,True,20260908,5,analysis_activations,positive,False,5.8477364415744235,7.536123198900324,0.4949467872637412,0.05327247521144707,0.7035245463121675,0.2308083083674569,0.37965926921392457,0.6203407307860753,0.37965926921392457,3.2248520101660634,2,8,70328.5910869025,49216.06576097761,21112.525325924886,21112.525325924886,101.96533203125,1547.483642578125,2532.416015625,3226.713134765625,10.0,0.1,2.0,4422,0.8923674,True
326,1162,ok,True,False,20260908,5,analysis_activations,positive,False,4.472859318226168,4.641892700137654,0.0028005189349809526,0.013179361693080137,0.05291992946878286,0.11480140109371548,0.7095310041731425,0.2904689958268574,0.2904689958268574,1.8910399903835327,2,5,-1856.751859704012,-2212.287203406129,355.53534370211673,355.53534370211673,80.38408660888672,88.88726806640625,114.46033477783205,166.89309692382812,10.0,0.1,2.0,759,0.011712939,False
327,44071,ok,True,True,20260908,5,analysis_activations,positive,False,5.368569549464641,6.618144660667743,0.24260795759636683,0.2292581292700513,0.4925524922242977,0.4788090739220084,0.4489134612814823,0.5510865387185176,0.4489134612814823,2.5725746241786047,2,4,104130.88837762926,100991.43688069422,3139.451496935042,3139.451496935042,86.33154296875,445.0108642578125,1443.4583740234375,3011.291015625,10.0,0.1,2.0,4608,0.6215439,False
375,37415,ok,True,True,20260908,5,analysis_activations,positive,False,4.878886459469822,5.222166435918388,0.0114935914654111,0.040982585821750156,0.10720816883713245,0.20244156149800405,0.61704325763038,0.3829567423696199,0.3829567423696199,2.1192508901504987,2,6,-5415.452111983006,-13710.145515116326,8294.69340313332,8294.69340313332,111.377685546875,141.74948120117188,231.28020324707023,475.9292907714844,10.0,0.1,2.0,3585,0.05063226,False
376,11436,ok,True,True,20260908,5,analysis_activations,positive,False,5.180318407044742,5.889577343666727,0.05240975208782841,0.12898918366939244,0.2289317629509466,0.3591506420283729,0.5658543152332888,0.43414568476671134,0.43414568476671134,2.3550625534321528,2,5,14583.39292789643,12970.833057159703,1612.5598707367262,1612.5598707367262,123.98233032226562,224.2388153076172,571.4350891113281,1046.5281982421875,10.0,0.1,2.0,2234,0.20925388,False
384,29436,ok,True,True,20260908,5,analysis_activations,positive,False,4.918345438005622,5.302767378966995,0.014646008909084894,0.055606832372265096,0.12102069620145513,0.23581100986227319,0.6060276332715184,0.3939723667284815,0.3939723667284815,2.0511207034420242,2,7,3575.820756173464,-2997.969917330709,6573.790673504172,6573.790673504172,113.51304626464844,149.41082763671875,261.3894348144531,563.3919677734375,10.0,0.1,2.0,2670,0.06606788,False
389,15204,ok,True,True,20260908,5,analysis_activations,positive,False,5.203960570580745,6.041678878124664,0.08869561464880545,0.12682124299289232,0.2978180898615889,0.35611970317983294,0.5144042172076624,0.48559578279233767,0.48559578279233767,2.5519512946830325,2,4,23947.622775146843,22753.411170921485,1194.2116042253583,1194.2116042253583,109.79052734375,264.95452880859375,678.6256469726561,1226.6873779296875,10.0,0.1,2.0,3383,0.28252462,False
