feature_id,conjunction_p,q_by
87,0.0001,0.0005663937266630261
129,0.0001,0.0005663937266630261
141,0.0001,0.0005663937266630261
157,0.0002,0.001066152897248049
252,0.0001,0.0005663937266630261
839,0.0001,0.0005663937266630261
905,0.0001,0.0005663937266630261
1199,0.0001,0.0005663937266630261
1247,0.0001,0.0005663937266630261
1284,0.0001,0.0005663937266630261
1772,0.0655,0.29679031277142565
1827,0.0001,0.0005663937266630261
2193,0.0001,0.0005663937266630261
2241,0.0001,0.0005663937266630261
4714,0.0001,0.0005663937266630261
6629,0.016,0.07631410211880772
6846,0.3939,1.0
6903,0.4857,1.0
7122,0.0001,0.0005663937266630261
11908,0.0022,0.011076143988076954
14064,0.0001,0.0005663937266630261
21515,0.1761,0.7253958928389737
25249,0.0001,0.0005663937266630261
34492,0.1398,0.6032902322856459
