feature_id,source,n_low,n_high,status,orthogonal_squared,total_squared,parallel_squared,p,null_mean,movable_fraction,tie_tolerance
72,fineweb-edu-sample,927,364,ok,147194.1806115235,368842.9275307187,221648.74691919517,0.2176,128816.7015242942,0.13400464756003097,1.4719418061152351e-05
72,wikimedia-en,1361,367,ok,777957.8388986506,1328431.0736330189,550473.2347343686,0.0002,544878.7986391303,0.09027777777777778,7.779578388986506e-05
296,fineweb-edu-sample,1027,1022,ok,382719.07754264097,385105.20857642044,2386.1310337794466,1.0,426648.5254141703,0.31137140068326014,3.82719077542641e-05
296,wikimedia-en,707,1638,ok,477150.53429798177,524920.2766079784,47769.742309996545,1.0,561991.9058570014,0.567590618336887,4.7715053429798176e-05
575,fineweb-edu-sample,1666,1346,ok,638678.8267263052,2884288.7808399345,2245609.954113629,0.4086,636232.0914892202,0.025232403718459494,6.386788267263052e-05
575,wikimedia-en,1785,1105,ok,812131.6717373889,3516885.193024577,2704753.5212871893,0.0134,769691.4145113681,0.027335640138408304,8.121316717373889e-05
665,fineweb-edu-sample,1603,1419,ok,73623.68972641876,205493.02795340866,131869.33822698987,0.0366,71566.95738629547,0.024818001323626736,7.362368972641876e-06
665,wikimedia-en,1660,1025,ok,227780.38822726315,1477540.0655698937,1249759.6773426314,0.0016,208141.5126395775,0.027188081936685288,2.2778038822726315e-05
710,fineweb-edu-sample,1531,307,ok,516266.69600113627,951968.2920811437,435701.59608000715,0.2296,485074.902425829,0.06365614798694233,5.162666960011363e-05
710,wikimedia-en,484,45,insufficient_regime_support,,,,1.0,,,
802,fineweb-edu-sample,1637,385,ok,548415.61610979,652681.2484974683,104265.63238767846,0.4354,538541.4203227755,0.11918892185954501,5.484156161097901e-05
802,wikimedia-en,780,101,ok,2121982.1415426303,2215202.023429033,93219.8818864027,0.8816,2364051.182821575,0.03745743473325766,0.00021219821415426304
863,fineweb-edu-sample,2023,642,ok,1494390.636457721,2027345.9747522115,532955.3382944904,0.0016,1305571.0248188397,0.06641651031894934,0.0001494390636457721
863,wikimedia-en,1749,455,ok,2716257.742629197,3531402.8698486458,815145.1272194493,0.0002,2340715.1635126187,0.0794010889292196,0.00027162577426291973
1076,fineweb-edu-sample,257,2637,ok,108032021.35735174,367113973.33158374,259081951.97423208,0.0568,106580961.02869636,0.0024187975120939877,0.010803202135735174
1076,wikimedia-en,72,2760,insufficient_regime_support,,,,1.0,,,
1635,fineweb-edu-sample,1631,498,ok,69466.70930057543,90470.54614073245,21003.836840157044,0.3616,69025.99995604719,0.09769844997651479,6.946670930057543e-06
1635,wikimedia-en,1622,556,ok,634546.124758454,774048.7834785285,139502.65872007475,0.0376,549415.33672279,0.07483930211202938,6.345461247584541e-05
1645,fineweb-edu-sample,1036,342,ok,310605.9331395022,925543.4643072796,614937.5311677777,0.0002,120071.1270239286,0.7525399129172714,3.106059331395022e-05
1645,wikimedia-en,1472,1117,ok,367732.8956496109,2844247.307051956,2476514.411402346,0.0002,72305.19832255879,0.8999613750482812,3.677328956496109e-05
1844,fineweb-edu-sample,377,2651,ok,199817.2713738824,730211.4892355842,530394.2178617015,1.0,1255759.7160516726,0.9184280052840158,1.9981727137388242e-05
1844,wikimedia-en,748,2015,ok,4242254.533813079,14734662.948258191,10492408.414445112,0.0002,59367.530761681955,0.9410061527325371,0.0004242254533813079
1892,fineweb-edu-sample,1501,448,ok,201529.60414295978,441229.60179960215,239699.9976566425,0.5122,204577.98680960434,0.10826064648537712,2.015296041429598e-05
1892,wikimedia-en,1895,789,ok,578500.8818980894,1064305.7860240373,485804.90412594785,0.0032,475664.9999719493,0.09314456035767511,5.785008818980895e-05
1903,fineweb-edu-sample,1264,261,ok,326085.2881457102,486870.97789276426,160785.6897470541,0.1034,260110.46993692085,0.09704918032786886,3.260852881457102e-05
1903,wikimedia-en,834,73,insufficient_regime_support,,,,1.0,,,
2286,fineweb-edu-sample,1049,189,ok,1905904.5603348324,2625377.112081619,719472.5517467866,0.067,1811050.8554629842,0.006462035541195477,0.00019059045603348325
2286,wikimedia-en,1687,290,ok,2032502.7596133526,2709192.638668927,676689.8790555741,0.1918,1957054.124659298,0.02276176024279211,0.00020325027596133528
2377,fineweb-edu-sample,1053,130,ok,286959.35881715734,396148.9272930274,109189.56847587004,0.1772,235982.281117147,0.13186813186813187,2.8695935881715734e-05
2377,wikimedia-en,1811,448,ok,1071531.347346778,1685858.7405663247,614327.3932195468,0.3836,1043810.0018176548,0.2412571934484285,0.00010715313473467781
3136,fineweb-edu-sample,1818,953,ok,147232.48333831943,250886.87946579081,103654.39612747138,0.0738,134481.4642854861,0.020570191266690727,1.4723248333831944e-05
3136,wikimedia-en,1775,660,ok,82078.00581542359,155833.02412597963,73755.01831055603,0.7508,89842.5979255119,0.02751540041067762,8.207800581542358e-06
6756,fineweb-edu-sample,1161,200,ok,169815.0093792926,230168.82119276753,60353.81181347491,0.4996,173074.9653227242,0.060249816311535635,1.6981500937929262e-05
6756,wikimedia-en,1216,195,ok,5476903.346278659,5519906.381390946,43003.035112287886,0.203,5165552.297430426,0.09425939050318922,0.000547690334627866
7511,fineweb-edu-sample,643,96,insufficient_regime_support,,,,1.0,,,
7511,wikimedia-en,762,86,insufficient_regime_support,,,,1.0,,,
8532,fineweb-edu-sample,1105,234,ok,195841.41861977373,231391.13703925195,35549.71841947823,0.3244,186865.5854453071,0.04779686333084392,1.9584141861977373e-05
8532,wikimedia-en,1595,556,ok,187585.59948986123,235915.02365529226,48329.42416543105,0.9782,269680.4488484407,0.15016271501627151,1.8758559948986124e-05
10392,fineweb-edu-sample,2259,149,ok,887196.9596910126,1098172.3073153133,210975.34762430048,0.0794,810364.7698174855,0.010382059800664452,8.871969596910127e-05
10392,wikimedia-en,1841,914,ok,12285149.624519208,12375818.468823345,90668.8443041368,0.4162,12270975.594809245,0.010163339382940109,0.0012285149624519209
12335,fineweb-edu-sample,2295,634,ok,11069694.888152791,11072676.612279788,2981.7241269962688,0.4678,11061005.282324867,0.0054626152270399455,0.0011069694888152792
12335,wikimedia-en,1963,900,ok,12437774.427427663,12441037.819233146,3263.391805482023,0.0002,11547078.108697845,0.022004889975550123,0.0012437774427427662
17857,fineweb-edu-sample,153,7,insufficient_regime_support,,,,1.0,,,
17857,wikimedia-en,1446,309,ok,753041.1631701321,932003.8274574395,178962.6642873071,0.0016,527744.0592068455,0.15384615384615385,7.530411631701321e-05
28027,fineweb-edu-sample,2088,787,ok,28499347.6328537,28941508.870860983,442161.23800728144,0.0002,26628266.177484743,0.05565217391304348,0.0028499347632853704
28027,wikimedia-en,1751,1052,ok,20291974.494307797,20632947.371361185,340972.8770533751,0.0002,18736366.030614164,0.09596860506600072,0.00202919744943078
35053,fineweb-edu-sample,1614,623,ok,569372.9417781144,631404.3549010076,62031.41312289326,0.4186,568478.7987640466,0.013410818059901655,5.6937294177811445e-05
35053,wikimedia-en,1906,424,ok,1833493.1007241674,1863009.888577045,29516.78785287702,0.873,1886622.0429456057,0.025321888412017168,0.00018334931007241674
