feature_id,source,binary_native_cosine,binary_native_orthogonal_cosine,decoder_low_neighbor_jaccard,decoder_high_neighbor_jaccard,decoder_neighbor_ids
1827,fineweb-edu-sample,0.8173795472500848,0.9339830117151381,0.02564102564102564,0.02564102564102564,"[272, 325, 397, 492, 638, 762, 940, 1126, 1199, 1391, 1453, 1488, 4799, 4990, 8200, 14099, 27792, 48022, 53484, 64840]"
1827,wikimedia-en,0.8960391163557087,0.9190677723621152,0.02564102564102564,0.02564102564102564,"[272, 325, 397, 492, 638, 762, 940, 1126, 1199, 1391, 1453, 1488, 4799, 4990, 8200, 14099, 27792, 48022, 53484, 64840]"
2193,fineweb-edu-sample,0.8383091666012972,0.9247196828459432,0.0,0.14285714285714285,"[104, 126, 177, 447, 612, 628, 1105, 1351, 1581, 1871, 2007, 2066, 2488, 3156, 3817, 4316, 4777, 5458, 40694, 64840]"
2193,wikimedia-en,0.8564866395692314,0.9276721924979526,0.02564102564102564,0.1111111111111111,"[104, 126, 177, 447, 612, 628, 1105, 1351, 1581, 1871, 2007, 2066, 2488, 3156, 3817, 4316, 4777, 5458, 40694, 64840]"
2241,fineweb-edu-sample,0.9104348305911251,0.916692285014025,0.1111111111111111,0.08108108108108109,"[60, 418, 643, 675, 774, 800, 881, 1344, 1524, 1539, 1703, 1819, 1822, 1900, 1995, 2024, 2199, 2747, 3505, 3709]"
2241,wikimedia-en,0.9669490252942322,0.9663164238191858,0.05263157894736842,0.1111111111111111,"[60, 418, 643, 675, 774, 800, 881, 1344, 1524, 1539, 1703, 1819, 1822, 1900, 1995, 2024, 2199, 2747, 3505, 3709]"
4714,fineweb-edu-sample,0.8018860373973746,0.9427917810877143,0.02564102564102564,0.02564102564102564,"[472, 1326, 2289, 3397, 6336, 6795, 7265, 8481, 9295, 12593, 14176, 15714, 19811, 49653, 51753, 54854, 60643, 61812, 63004, 64960]"
4714,wikimedia-en,0.9301700573316969,0.9816839183243472,0.02564102564102564,0.02564102564102564,"[472, 1326, 2289, 3397, 6336, 6795, 7265, 8481, 9295, 12593, 14176, 15714, 19811, 49653, 51753, 54854, 60643, 61812, 63004, 64960]"
6629,fineweb-edu-sample,0.9113799096528353,0.9357395962149185,0.02564102564102564,0.05263157894736842,"[2025, 3571, 9398, 9679, 15069, 17542, 18127, 22374, 23579, 27279, 33554, 35286, 37673, 37795, 41105, 49801, 49914, 50652, 55218, 59995]"
6629,wikimedia-en,0.9255817491706493,0.9515682418223259,0.0,0.02564102564102564,"[2025, 3571, 9398, 9679, 15069, 17542, 18127, 22374, 23579, 27279, 33554, 35286, 37673, 37795, 41105, 49801, 49914, 50652, 55218, 59995]"
6846,fineweb-edu-sample,0.7711553206237837,0.7503036746865915,0.02564102564102564,0.02564102564102564,"[657, 2118, 3353, 4264, 4266, 4531, 5861, 6100, 6903, 7378, 9054, 9490, 10595, 10759, 11321, 12623, 14590, 14694, 21220, 52804]"
6846,wikimedia-en,0.9540712196212613,0.9535744263362337,0.0,0.0,"[657, 2118, 3353, 4264, 4266, 4531, 5861, 6100, 6903, 7378, 9054, 9490, 10595, 10759, 11321, 12623, 14590, 14694, 21220, 52804]"
6903,fineweb-edu-sample,0.7109592447481352,0.6863169130697739,0.02564102564102564,0.1111111111111111,"[5861, 6100, 6103, 6846, 7218, 8457, 9054, 9142, 9638, 10759, 10940, 14147, 14590, 14694, 16425, 17555, 21220, 23133, 38820, 52804]"
6903,wikimedia-en,0.9187632887977872,0.9180365961820655,0.0,0.02564102564102564,"[5861, 6100, 6103, 6846, 7218, 8457, 9054, 9142, 9638, 10759, 10940, 14147, 14590, 14694, 16425, 17555, 21220, 23133, 38820, 52804]"
7122,fineweb-edu-sample,0.9147254208183001,0.9395653182731485,0.0,0.0,"[503, 1012, 1392, 4386, 4886, 5965, 6123, 7007, 7457, 10850, 11756, 12146, 16486, 16661, 20512, 21404, 41385, 43881, 48957, 50174]"
7122,wikimedia-en,0.9569359032501809,0.9700922049555347,0.0,0.0,"[503, 1012, 1392, 4386, 4886, 5965, 6123, 7007, 7457, 10850, 11756, 12146, 16486, 16661, 20512, 21404, 41385, 43881, 48957, 50174]"
