status,feature_id,candidate_id,role,discovery_delta_bic,n_low,n_high,documents_low,documents_high,assignment_rate,document_p,document_null_mean,document_null_p95,document_movable_fraction,token_identity_p,token_identity_null_mean,token_identity_null_p95,token_identity_movable_fraction,js_ci_low,js_ci_high,js_bootstrap_se,js_bootstrap_bias,js_bootstrap_percentile_low,js_bootstrap_percentile_high,bootstrap_valid,null_excess,null_excess_kind,js_bits,neighbor_jaccard,shared_rank_spearman,shared_neighbors,cosine,conditional_l1,conditional_mass_change,partner_count
insufficient_matched_regime_support,637,1076,weak_control,124.17831366905739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
insufficient_matched_regime_support,1551,1844,weak_control,21547.873003496257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
insufficient_matched_regime_support,1763,1645,weak_control,11537.83131690871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ok,2966,296,weak_control,7197.921342603357,8818.0,15077.0,3195.0,3213.0,0.9259259259259259,0.0001,0.010677727756391397,0.01090058312423083,0.319774011299435,0.0001,0.010302147647307431,0.01051239849220791,0.3800376647834275,0.011186573056685061,0.013359768527985788,0.0005543865998216136,0.0062609047890037125,0.017556422897254894,0.019667404575344917,1000.0,0.0015954430359440275,document,0.012273170792335425,0.8181818181818182,0.8951988802677927,18.0,0.9869580492263013,12.914934838239384,3.1186464784319625,11502.0
insufficient_matched_regime_support,5482,12335,weak_control,17736.202023345497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ok,18791,10392,weak_control,5822.488694052528,14865.0,2445.0,4765.0,1676.0,0.9743768053921045,0.0001,0.0355421226120076,0.03614454123462556,0.05476603119584055,0.0001,0.03604125759324097,0.03651214538684559,0.1902368573079145,0.03560024793334046,0.04130339105390979,0.0014548834491248284,0.015684961954954287,0.05135561963695484,0.05714486255844398,1000.0,0.0029096968816175253,document,0.038451819493625125,0.7391304347826086,0.823529411764706,17.0,0.9508811182201884,21.148993704072854,1.9746833980260021,11415.0
insufficient_matched_regime_support,8441,802,weak_control,21482.143222597075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
insufficient_matched_regime_support,858,1635,weak_control,15849.273143832463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
insufficient_matched_regime_support,5275,3136,weak_control,16263.628001819952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
insufficient_matched_regime_support,17446,8532,weak_control,10071.477975411857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ok,7087,28027,weak_control,17750.217765769063,23192.0,12596.0,5383.0,4042.0,0.7703910725258172,0.0001,0.041954804737349895,0.04256870708648885,0.1616463619090198,0.0001,0.047634352392165034,0.04802574210973707,0.128087627137588,0.05076343796055551,0.05624102239244252,0.0013973429673181132,0.004742317616317618,0.055600890493007454,0.06099250972555145,1000.0,0.01154742543914912,document,0.053502230176499015,0.3793103448275862,-0.21818181818181823,11.0,0.8889177379394255,31.20320712368814,1.4950368749925502,12578.0
ok,19741,35053,weak_control,11426.730416232605,9527.0,3240.0,4002.0,1820.0,0.8656036446469249,0.0001,0.043673202172827635,0.044177077173307745,0.0626615493068066,0.0001,0.04539289279259654,0.04582416470010108,0.1241481945641106,0.04372249931679732,0.05064627573574533,0.0017662694946295944,0.011894787415670474,0.05600823289010212,0.06269771539003484,1000.0,0.003511185353443691,document,0.047184387526271326,0.6,0.5035714285714286,15.0,0.9379936500284253,26.48897853015536,4.0099097496783,9932.0
insufficient_matched_regime_support,5609,7511,weak_control,1689.0670100970838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
insufficient_matched_regime_support,10345,6756,weak_control,10053.977581027313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
