feature_id,source,n_low,n_high,encoder_decoder_cosine,shift_covariance_encoder_cosine,status,orthogonal_squared,total_squared,parallel_squared,p,null_mean,movable_fraction,tie_tolerance
87,fineweb-edu-sample,1886,1099,0.5840456771192688,0.6112043590581405,ok,346750.50902015175,1036912.3460974036,690161.8370772519,0.0002,328081.82808133686,0.02747068676716918,3.4675050902015177e-05
87,wikimedia-en,1666,783,0.5840456771192688,0.8195890433411056,ok,437264.3373766407,1918486.095157041,1481221.7577804003,0.0002,398400.1504687648,0.06778276847692936,4.372643373766407e-05
129,fineweb-edu-sample,2064,881,0.7369571173605802,0.680590781101584,ok,259564.9299512535,930828.6592672179,671263.7293159644,0.0002,207161.37896115764,0.30492359932088287,2.595649299512535e-05
129,wikimedia-en,1798,380,0.7369571173605802,0.9336786523806291,ok,342261.7254332033,1685537.7146144141,1343275.9891812105,0.0002,255936.74885885185,0.26721763085399447,3.422617254332033e-05
141,fineweb-edu-sample,2031,648,0.7111630071808173,0.9168757218009849,ok,163218.45451955515,841081.3266256617,677862.8721061065,0.0002,138515.57128585503,0.20865994774169466,1.6321845451955517e-05
141,wikimedia-en,1707,276,0.7111630071808173,0.9454882666148999,ok,353139.5150393221,1447345.5634878254,1094206.0484485035,0.0002,312298.49185753113,0.0897629853756934,3.531395150393221e-05
157,fineweb-edu-sample,1540,520,0.7338561349428722,0.34940448615447944,ok,1890940.091236475,2489749.4059866136,598809.3147501397,0.2202,1756523.7633957472,0.17524271844660194,0.0001890940091236475
157,wikimedia-en,860,211,0.7338561349428722,0.37454025077228015,ok,2777571.9497163077,3401960.566024772,624388.616308464,0.402,2718191.390755113,0.0915032679738562,0.0002777571949716308
252,fineweb-edu-sample,1405,418,0.6747109817495074,0.3599742457082122,ok,2676946.632965686,2680355.8995857546,3409.266620068096,0.0002,1819167.1346731726,0.19967087218869994,0.00026769466329656857
252,wikimedia-en,1566,413,0.6747109817495074,0.2512657919516992,ok,1053777.7088155285,1870738.528430061,816960.8196145324,0.0002,684114.4501549983,0.23799898938858008,0.00010537777088155286
839,fineweb-edu-sample,1749,1276,0.6747297553678928,0.4255197427965349,ok,459920.32468938467,1009131.4432709492,549211.1185815646,0.0002,276413.88126981416,0.33289256198347106,4.599203246893847e-05
839,wikimedia-en,1967,854,0.6747297553678928,0.4633267336331424,ok,2030290.5714924943,2728868.0358691886,698577.4643766944,0.0002,1218266.28405311,0.47997164126196384,0.00020302905714924944
905,fineweb-edu-sample,1850,1171,0.7018883200766188,0.5678934634269828,ok,268732.6467638619,941425.3227403349,672692.6759764731,0.0002,240673.61088241093,0.03475670307845084,2.687326467638619e-05
905,wikimedia-en,1716,772,0.7018883200766188,0.008646687880572886,ok,713091.5318114666,1808209.49805069,1095117.9662392237,0.0002,612238.0334115401,0.05305466237942122,7.130915318114666e-05
1199,fineweb-edu-sample,1816,1175,0.715697235973836,0.28264464156751296,ok,464425.6845360871,1025833.5523044057,561407.8677683185,0.0002,299034.2727088534,0.3316616516215313,4.644256845360871e-05
1199,wikimedia-en,1652,771,0.715697235973836,0.6451765400763423,ok,603345.2367400539,1413502.1414253367,810156.9046852828,0.0002,370292.1808488959,0.387536112257532,6.0334523674005386e-05
1247,fineweb-edu-sample,2000,565,0.7279860852357642,0.07056346594006097,ok,1599839.604203566,2462116.6025139038,862276.9983103374,0.1028,1450246.6615740412,0.18791423001949317,0.0001599839604203566
1247,wikimedia-en,1894,962,0.7279860852357642,-0.02879855426451418,ok,3449840.5694593135,4646256.2909716545,1196415.7215123414,0.0078,3072421.1186448983,0.20553221288515405,0.00034498405694593137
1284,fineweb-edu-sample,1822,1126,0.5390374212712553,0.02355001452008973,ok,334046.00976972975,468175.72088450525,134129.7111147755,0.0002,210867.2277853516,0.4559023066485753,3.3404600976972974e-05
1284,wikimedia-en,1831,581,0.5390374212712553,0.655265276618296,ok,652498.2489761908,1401727.3532427866,749229.1042665958,0.0002,368180.51090160257,0.3959369817578773,6.524982489761908e-05
1772,fineweb-edu-sample,1021,161,0.7271410793409518,-0.22735727063269695,ok,505454.57355231873,914772.1524373683,409317.5788850496,0.1522,485925.1498534014,0.07529610829103214,5.054545735523188e-05
1772,wikimedia-en,1074,212,0.7271410793409518,-0.5603343271571152,ok,1168294.1363028348,2074981.10585278,906686.9695499452,0.0002,1059181.7658631892,0.07387247278382582,0.00011682941363028348
1827,fineweb-edu-sample,1698,1282,0.7927568976073263,-0.1733501140514252,ok,761160.565526932,1107100.9792017913,345940.41367485916,0.0002,560218.9002404481,0.31912751677852347,7.611605655269321e-05
1827,wikimedia-en,1586,821,0.7927568976073263,0.6971245978590308,ok,1706413.3013005445,2395193.172105721,688779.8708051764,0.0002,1483240.6078038765,0.2912339011217283,0.00017064133013005445
2193,fineweb-edu-sample,1740,480,0.6923827864727139,0.671172130883169,ok,710454.7775156455,1622441.6701022643,911986.8925866185,0.0164,683037.196287418,0.027477477477477478,7.104547775156455e-05
2193,wikimedia-en,1622,1027,0.6923827864727139,0.7193049072053056,ok,734709.6908425718,1600910.1480919332,866200.4572493612,0.0006,695916.4305001765,0.07097017742544356,7.347096908425718e-05
2241,fineweb-edu-sample,1434,316,0.7026085229490103,0.21399401772951201,ok,920334.4548754775,1312998.2079644997,392663.7530890224,0.001,781464.4101461078,0.13485714285714287,9.203344548754775e-05
2241,wikimedia-en,1410,530,0.7026085229490103,-0.5549702360693203,ok,2122253.7151964083,3243212.50686049,1120958.791664082,0.0004,1856640.4594794463,0.22628865979381443,0.00021222537151964084
4714,fineweb-edu-sample,1915,1069,0.8051756420855583,0.8219593839310173,ok,232978.37185180985,792873.2374354128,559894.8655836029,0.0002,218041.44376275683,0.04155495978552279,2.3297837185180986e-05
4714,wikimedia-en,1899,920,0.8051756420855583,0.875757379716736,ok,755256.059792958,1428964.454933443,673708.3951404855,0.3826,749424.6168798798,0.0478893224547712,7.55256059792958e-05
6629,fineweb-edu-sample,1540,492,0.7949135908452758,-0.16056828548603652,ok,985739.8206818572,1220069.0287465402,234329.20806468328,0.579,994186.0048973333,0.0344488188976378,9.857398206818572e-05
6629,wikimedia-en,1568,478,0.7949135908452758,-0.14837697141833747,ok,1509429.966398675,1770993.5611218428,261563.5947231683,0.03,1385549.1343318347,0.050342130987292275,0.0001509429966398675
6846,fineweb-edu-sample,2018,427,0.7057513231696056,0.31288945759679,ok,150364.31498595097,195252.80023067165,44888.485244720694,0.1622,145055.09059297293,0.14151329243353783,1.5036431498595098e-05
6846,wikimedia-en,1664,222,0.7057513231696056,0.8508466430346378,ok,398072.1267842576,448141.0245747356,50068.89779047807,0.051,349769.14718111197,0.0816542948038176,3.980721267842576e-05
6903,fineweb-edu-sample,1152,194,0.8212202640216716,0.3009391485609866,ok,267390.4199003889,311362.4981888686,43972.07828847959,0.1202,257190.45440704608,0.04457652303120357,2.6739041990038893e-05
6903,wikimedia-en,1194,143,0.8212202640216716,0.8910322019691592,ok,459496.7275265717,497505.74616272206,38009.01863615033,0.4854,459194.14342837327,0.02916978309648467,4.5949672752657175e-05
7122,fineweb-edu-sample,1935,732,0.7711415041942143,0.8331597583794507,ok,358435.9050058632,657033.5807901357,298597.6757842724,0.0002,228931.569477776,0.4289463817022872,3.5843590500586324e-05
7122,wikimedia-en,1470,594,0.7711415041942143,0.9195418396026471,ok,479510.5313891532,802115.6104413185,322605.0790521654,0.0202,383599.5289835575,0.46656976744186046,4.795105313891532e-05
11908,fineweb-edu-sample,1597,1128,0.6425072198522288,0.8833526656310595,ok,1414653.456767187,1577605.8464505477,162952.38968336105,0.04,1389289.632444206,0.02091743119266055,0.0001414653456767187
11908,wikimedia-en,1270,1512,0.6425072198522288,0.8574033428377967,ok,1571402.7124993124,1775711.9641461205,204309.25164680812,0.0002,1517531.092125906,0.027677929547088427,0.00015714027124993124
14064,fineweb-edu-sample,1892,538,0.7671412479138457,0.392090213042065,ok,192138.64801483066,243214.98454662628,51076.3365317956,0.5496,198327.2292366637,0.20041152263374484,1.9213864801483067e-05
14064,wikimedia-en,1754,557,0.7671412479138457,0.32028297071571354,ok,168058.65415307987,212946.60444263744,44887.950289557586,0.0158,135244.08500032258,0.27953266983989616,1.6805865415307988e-05
21515,fineweb-edu-sample,1732,423,0.8205656519005236,0.9396348529409917,ok,274563.8623976647,294322.4416088895,19758.57921122478,0.2848,271063.32848657074,0.03665893271461717,2.745638623976647e-05
21515,wikimedia-en,1740,609,0.8205656519005236,0.8328159715405417,ok,137624.05984731007,157729.07925574062,20105.019408430577,0.015,128376.76451617385,0.10855683269476372,1.3762405984731007e-05
25249,fineweb-edu-sample,1922,691,0.5954437619157604,0.8663643401378802,ok,1930249.0818732763,2185526.7446796168,255277.66280634006,0.0004,1849352.6611796129,0.022962112514351322,0.00019302490818732764
25249,wikimedia-en,1550,979,0.5954437619157604,0.8469302703612261,ok,2493491.7397713587,2831568.584758986,338076.8449876273,0.0002,2381643.9420673973,0.03242388295769079,0.00024934917397713587
34492,fineweb-edu-sample,1934,836,0.7395005104117893,-0.5438130757090507,ok,233243.07409355606,311840.655669565,78597.581576009,0.6844,234635.2564266625,0.02454873646209386,2.3324307409355606e-05
34492,wikimedia-en,1940,780,0.7395005104117893,-0.34930496143525575,ok,206083.41491210408,259731.42770996908,53648.01279786502,0.063,200029.5730170917,0.034926470588235295,2.0608341491210408e-05
