feature_id,source,level,n,activation_mean,pc1_mean,pc2_mean,pc3_mean,pc4_mean,pc5_mean,pc6_mean,pc7_mean,pc8_mean
2366,fineweb-edu-sample,2,250,526.6898874511719,-2485.489147457169,541.1715710062861,483.713477179201,-120.58251725316258,-204.55047820732167,76.13225309051515,41.63781414432729,177.8369717279478
2366,fineweb-edu-sample,3,274,1842.0829385353702,-2673.2907528083306,540.4628728491249,508.2873744674464,-63.719126642561314,-40.168121430632816,118.0163223047634,121.51905256745027,121.63813520661611
2366,wikimedia-en,0,214,231.74769235771393,1582.0676872396382,-25.33198144751018,-304.6264707765415,-76.263720088914,-255.01279051359876,155.52622322673483,-5.669911043808495,134.335841733228
2366,wikimedia-en,1,160,301.44310569763184,1592.6300146364924,-102.73795329455713,-10.277474591605813,-78.26350354380364,-198.54148737677227,84.27489217318444,-60.10643724775912,247.0429883464895
2366,wikimedia-en,2,149,545.0213352689807,4864.80658249386,-212.52184952053125,139.81179064820125,104.24715249073013,-144.32127340061848,-20.310180781455518,-94.81762642443636,337.8051239816225
2366,wikimedia-en,3,119,1476.445725897781,2501.8044713593486,93.57717742551293,38.232073893543365,-39.83664793514859,7.093608808960911,114.29393341364336,-45.131346327408906,291.80861600869906
3007,fineweb-edu-sample,0,91,203.3507812835358,493.5096277044161,12.237785020263788,486.0931638332721,222.12776965879922,-96.13469937843216,96.91181672196201,130.71131742152247,221.31786989989004
3007,fineweb-edu-sample,1,67,239.56647958328475,1075.1471054953897,144.24319113492513,557.6955725668828,232.7818723521649,-89.417094501129,32.48971261831033,208.3488727387347,109.66467748574729
3007,fineweb-edu-sample,2,37,295.5750089078336,-439.3640356898124,110.17107977122845,617.4053841777055,187.76877560660773,75.54227584689328,58.14922943091234,180.90523952946467,96.51716849491636
3007,fineweb-edu-sample,3,9,427.58408610026044,-4048.461294293833,-290.15734835215756,489.73520784550027,0.05004847177660091,-174.3416038473651,95.09811723607532,374.9413225753967,507.0843862803647
3007,wikimedia-en,0,30,205.90152486165366,677.6236003951833,-181.51442132407303,288.1852685649025,116.28134349665196,-65.55083431372145,109.98031972912062,54.68213762192285,291.23723016474855
3007,wikimedia-en,1,15,240.02151590983073,619.6664397251334,314.0454421643026,281.09202003348383,173.9143494286225,-243.70195400249887,227.58839295687,151.34303692035658,290.4371442129935
3007,wikimedia-en,2,5,277.60010986328126,-2501.226286159538,-291.46268868631836,367.1601136032785,437.88982213815024,-145.85025125545286,189.26074151410975,12.582425067987629,260.4243006286095
3007,wikimedia-en,3,2,415.84149169921875,-571.4802639559757,-949.7080143353523,276.2239282549441,686.2174081483009,-275.47241641289895,208.17047348591382,127.5986969083116,253.35947464163007
3199,fineweb-edu-sample,0,340,256.3704246969784,-5459.432375691813,-29.363396695490167,-374.14703548443686,1723.8872480135349,-104.01991102720582,-511.95906286975384,-285.9534109013296,-23.198508570198626
3199,fineweb-edu-sample,1,277,301.71828727859884,-5603.6851855986515,15.176889236511204,-366.67484409689354,1734.007380450159,-163.84312494598967,-545.5900437710251,-293.3492196001045,-21.556736073606345
3199,fineweb-edu-sample,2,212,368.38725770194577,-5670.526216870489,-40.57348771355661,-374.1740750923333,1737.2861778458018,-156.06929219570873,-490.04095681908706,-292.312737810089,24.12970651629319
3199,fineweb-edu-sample,3,121,557.2493442503874,-5879.299063063164,-184.67261120070896,-402.50452637734196,1859.6419961585336,-124.16380848352892,-529.5083486946536,-307.3343865970732,107.39492509966205
3199,wikimedia-en,0,179,257.3910907766672,-4335.427458973281,-206.1711614620984,-1323.9585851231284,1581.9669366555381,-148.47438900651454,-396.09198319531924,-844.6407789004027,-138.52026054358146
3199,wikimedia-en,1,161,300.84082448260386,-4249.575878673377,-262.8947751659112,-1125.5179395902196,1585.316296890231,-153.09579720845736,-421.5794219419913,-741.6102213083695,-80.07750759426538
3199,wikimedia-en,2,91,370.27173589350105,-4268.697376417211,-299.67033755482277,-902.232695689155,1618.6318076582313,-75.85489911385713,-401.24818194015074,-671.7068841916366,99.56293767420073
3199,wikimedia-en,3,53,546.221526523806,-4693.824814744059,-318.916063387119,-741.2613064719229,1643.5071481954428,-82.1205607833294,-411.2049077550833,-600.3350593491821,233.60459889951102
3510,fineweb-edu-sample,0,704,201.7582753571597,599.3820141068398,-36.86658198380296,506.5328324955007,-114.50303170067004,-508.99379375845405,152.06901682043605,-83.21082345702877,127.58425914234677
3510,fineweb-edu-sample,1,637,282.68913652309254,-179.93336275364442,18.227303179024616,540.9507730403302,-152.56600822356273,-590.9281940176974,175.00467031447081,-99.16500351051596,117.39746430431059
3510,fineweb-edu-sample,2,648,394.7704085832761,-385.78693415314996,19.55240621373536,517.3101891329878,-176.0511563531678,-642.8829239654616,219.63443773367388,-124.57349276431027,107.70519358078747
3510,fineweb-edu-sample,3,691,584.3640198990508,-764.7203022110973,13.966887527781779,533.0854926820729,-215.83362222759462,-737.8016042805906,175.67464605192703,-125.2461185612317,78.33812975252545
3510,wikimedia-en,0,777,200.55499821372013,2913.8410913707808,-447.1359697060555,-161.4567797041251,-277.0089134946723,-586.8631097733409,410.0856479971902,-155.73223674158544,-174.61387762979115
3510,wikimedia-en,1,701,283.5620766719976,2196.594593663456,-406.94232545616364,-181.3821748375168,-303.25577953299427,-681.2645191641299,523.3119039088973,-167.32518988424232,-213.44177785627522
3510,wikimedia-en,2,665,390.0822228453213,1976.1503823141659,-347.49120534806013,-144.0347349225809,-333.76394565008246,-718.3637608636443,540.9185841019029,-168.3656172319492,-208.8014364456596
3510,wikimedia-en,3,531,555.361197318959,731.5688924703537,-358.8557195104129,-139.57419227445862,-410.05662030879313,-843.7624923930821,524.7980330588181,-199.48831636372927,-154.4374209335714
3753,fineweb-edu-sample,0,195,194.9479013296274,3640.725763161799,69.14987577323781,-2.218737783852022,-192.1318634101178,113.49279234176151,-131.59525269548678,-181.3220140277872,244.40832444723335
3753,fineweb-edu-sample,1,176,238.64744394475764,3009.2562114687566,7.984008957503378,22.637237690723172,-247.8491557774446,67.38396438230372,-85.40590061953873,-220.0136654035129,200.1496489806904
3753,fineweb-edu-sample,2,116,303.6240955221242,3419.977723867618,-64.82719582102304,-14.302809126759621,-296.6121561626946,128.61640774313997,-160.0271021101483,-200.41074044725852,314.19796407093054
3753,fineweb-edu-sample,3,70,463.135984148298,2858.469559614705,-160.0214438428217,-11.321025736280898,-303.78437010606274,91.24640937534042,-118.0447836709805,-201.14816071938444,275.6052716706243
