n_low,n_high,documents_low,documents_high,assignment_rate,document_p,document_null_mean,document_null_p95,document_movable_fraction,token_identity_p,token_identity_null_mean,token_identity_null_p95,token_identity_movable_fraction,js_ci_low,js_ci_high,js_bootstrap_se,js_bootstrap_bias,js_bootstrap_percentile_low,js_bootstrap_percentile_high,bootstrap_valid,null_excess,null_excess_kind,js_bits,neighbor_jaccard,shared_rank_spearman,shared_neighbors,cosine,conditional_l1,conditional_mass_change,status,partner_count,feature_id,candidate_id,role,discovery_delta_bic,document_q_bh,document_q_by,token_identity_q_bh,token_identity_q_by
1109,5688,534,5688,0.9975051365,0.0001,0.7886100541,0.8005984819,0.0083860527,0.0001,0.8053582331,0.8120574335,0.139473297,0.8122464119,0.8500087164,0.0096332409,0.0041889284,0.8158401639,0.8539725356,1000,0.04251751,document,0.8311275641,0.0,,0,0.0857864781,81.5346901201,1.623210524,ok,1835,1076,1076,candidate,42353.98814157999,0.0001,0.0003775958177753507,0.00010434782608695653,0.0003940130272438442
10893,75186,4208,5452,0.7852776967,0.0001,0.1036036956,0.1044736169,0.1047293765,0.0001,0.0507432559,0.0512605531,0.9645209633,0.1398556309,0.1451232697,0.0013437854,0.0048463754,0.14477123,0.1499390931,1000,0.0388857547,document,0.1424894503,0.4285714286,0.7202797203,12,0.7463806454,29.6642513915,-6.5006807976,ok,11085,1844,1844,candidate,33308.35636063067,0.0001,0.0003775958177753507,0.00010434782608695653,0.0003940130272438442
43973,24867,4823,3205,0.6542855513524816,0.0001,0.012744307830727847,0.01294617577165292,0.3997239976757699,0.0001,0.012814801247278651,0.013017546662147803,0.45569436374201044,0.020761204631908406,0.023301036459382397,0.0006479162825188748,0.003259940341315999,0.024077725561360716,0.026632974806642416,1000,0.009286812714917554,document,0.0220311205456454,0.7391304347826086,0.8995098039215688,17,0.9699138544200623,17.716617680204187,3.191619244275145,ok,14298,863,863,candidate,23332.043000713922,0.0001,0.0003775958177753507,0.00010434782608695653,0.0003940130272438442
21241,15478,3843,3079,0.8462353944366343,0.0001,0.047179371846532404,0.048267086706504106,0.5896130068901658,0.0001,0.03423991887442438,0.0349729976647595,0.9775593017239032,0.19555998524781773,0.19991729940546019,0.0011115597340924641,0.002512802870756725,0.19816167370183072,0.20244710852307654,1000,0.15055927048010656,document,0.19773864232663896,0.3333333333333333,0.33434804902403553,10,0.7478750878418365,28.011241981500895,-2.7255902531059277,ok,4844,1645,1645,candidate,21134.29147617644,0.0001,0.0003775958177753507,0.00010434782608695653,0.0003940130272438442
8818,15077,3455,3716,0.9235496463494763,0.0001,0.07590400343920545,0.0771670428965641,0.24214270767943083,0.0001,0.12105586163051213,0.12161705989835166,0.6941201088093744,0.12652498354769684,0.13160371670485346,0.001295595193152198,0.00438703026138107,0.13097540465817262,0.1360807522456698,1000,0.053160346687069704,document,0.12906435012627515,0.3793103448275862,0.5,11,0.7793526215936104,32.32587992058849,-3.5395543445513766,ok,7592,296,296,candidate,21112.525325924886,0.0001,0.0003775958177753507,0.00010434782608695653,0.0003940130272438442
29294,12024,5639,4132,0.7020304137286552,0.0001,0.05946513721982299,0.060281831950680854,0.14303693305581103,0.0001,0.0694594721570643,0.0698804950508192,0.0897913742194685,0.07283818819076918,0.07960488222708015,0.0017261974582425976,0.0049219090272938915,0.07780424072303249,0.0849085956179109,1000,0.016756397989101675,document,0.07622153520892466,0.3333333333333333,-0.4424242424242424,10,0.8426468361266807,36.9599937150346,1.3652358581351223,ok,13174,12335,12335,candidate,19114.254802660653,0.0001,0.0003775958177753507,0.00010434782608695653,0.0003940130272438442
14865,2445,4647,1974,0.9806809812475213,0.0001,0.45445870059177146,0.45943555272502895,0.045060658578856154,0.0001,0.48907022548782597,0.48999758456138987,0.030444829578278453,0.47999759621083765,0.5143244492085874,0.008756850254528017,0.015770608481845805,0.4965447349151151,0.5302917519957182,1000,0.042702322117941116,document,0.4971610227097126,0.02564102564102564,,1,0.21295480246980006,86.63354567384579,-18.07095928798862,ok,10849,10392,10392,candidate,18914.357756453166,0.0001,0.0003775958177753507,0.00010434782608695653,0.0003940130272438442
28833,17160,2855,1545,0.6559090714621868,0.0001,0.01227453912260342,0.012511665731013198,0.5277107385906551,0.0001,0.011508529432922915,0.011745667338520855,0.5300806644489379,0.017514515903495932,0.021148245200462233,0.0009269717594301796,0.005417851768517036,0.023062614240655744,0.026627281666038508,1000,0.007056841429375663,document,0.019331380551979083,0.6,0.7642857142857141,15,0.9740949642332795,14.592618488576244,1.2618796838024764,ok,13010,802,802,candidate,17648.312890149755,0.0001,0.0003775958177753507,0.00010434782608695653,0.0003940130272438442
56382,49431,5840,5479,0.6398870357155816,0.0001,0.01578336339400714,0.01599663744976706,0.37230775046544373,0.0001,0.0245484849476488,0.02471568171774781,0.3022785480044985,0.03348502844434062,0.03491582914364813,0.00036500017839477403,0.0014895890687626964,0.0349817528802453,0.036422743965958126,1000,0.018417065399987234,document,0.034200428793994375,0.7391304347826086,0.8137254901960784,17,0.9628581124484052,23.74716209809981,3.66650071729228,ok,13694,575,575,candidate,17069.578178070893,0.0001,0.0003775958177753507,0.00010434782608695653,0.0003940130272438442
25264,15252,4183,2559,0.6539690738289698,0.0001,0.02266852046346518,0.02300401668098127,0.34615954190936915,0.0001,0.021706475797093495,0.022006500654334214,0.3494175140685161,0.028658677638544034,0.03241852770339208,0.0009591454247061358,0.005123125946200593,0.03380796560515187,0.03754811211836855,1000,0.00787008220750288,document,0.03053860267096806,0.6,0.8892857142857141,15,0.9583891605376351,22.424887818780025,5.695337965415149,ok,12924,1635,1635,candidate,16781.051184699427,0.0001,0.0003775958177753507,0.00010434782608695653,0.0003940130272438442
