feature_id,source,level,n,activation_mean,pc1_mean,pc2_mean,pc3_mean,pc4_mean,pc5_mean,pc6_mean,pc7_mean,pc8_mean
175,fineweb-edu-sample,0,408,164.24697745080087,10925.241272129555,-289.00907028930504,-139.21799951342223,-26.010288275560466,-181.31592069051626,173.84591219656903,-7.792731563465277,-13.937201026422265
175,fineweb-edu-sample,1,366,295.02506047650115,12001.929261743257,-327.0104673636714,-138.00579641998968,-17.73063445780395,-144.7047967321275,193.57310567254618,-8.635997391662773,-32.06048953529895
175,fineweb-edu-sample,2,296,465.805684991785,13042.375787059875,-380.915174683932,-137.05445593882715,-7.223501621417425,-133.95055805833607,185.61965617280777,-15.580877337072417,-35.449149399263646
175,fineweb-edu-sample,3,214,723.5621463383469,13982.28635785495,-433.541808601639,-142.0768563235776,2.684343376019845,-111.61624971866306,187.11120056634456,-9.454853557069098,-18.284034780028463
175,wikimedia-en,0,656,159.2135239577875,11374.388249528818,-145.02135446859089,-181.33064439126522,62.52802241699145,-173.13056418321636,99.34665044435005,-35.57310375218515,12.582732166117466
175,wikimedia-en,1,523,298.7818001916714,11603.417400773298,-153.68376006068672,-186.93327251435,80.82891269318469,-141.99263099066653,122.47496383606942,-55.249813376155245,42.92525493049082
175,wikimedia-en,2,433,473.3598906977347,12648.451492865583,-218.51743226621417,-158.37321177209458,82.6033909811518,-131.61412160966074,123.06869373080173,-63.82145989878055,38.1246041017076
175,wikimedia-en,3,474,737.8028981655459,14087.713909966122,-322.8617856375612,-147.0646415431436,83.00577685691226,-101.45100718365039,127.13164318145124,-74.37820940407389,38.73217482769744
390,fineweb-edu-sample,0,540,165.77066469545719,3104.914450730509,-126.58502539515555,115.30407081930157,-290.28310111034443,-207.8608380223573,204.0758825314819,-19.59855124352276,-19.93354899740314
390,fineweb-edu-sample,1,603,323.4340860800166,3674.8631801749834,-110.96982735380571,123.86862694753718,-300.38840646554723,-187.3531360291734,249.03842522881226,-6.722144919493098,-26.279774293745547
390,fineweb-edu-sample,2,587,591.3649935616749,3711.0038849376365,-48.91714382637163,169.80484847310152,-383.6264865157713,-145.57772159740747,270.001832128582,-18.977000933639886,-33.94247769158884
390,fineweb-edu-sample,3,503,1366.815009357915,-2546.1996383029204,283.48401681573614,267.538942881042,-572.057189857391,-156.38078757432643,238.95376706567333,-133.0527809356813,48.58332140966362
390,wikimedia-en,0,500,164.4165546875,3400.9905067616755,378.93268657761905,139.17535846364868,-122.80889230024947,-162.1465529903933,51.746219630100676,-96.34967221089472,34.9513365869444
390,wikimedia-en,1,502,328.6609796166895,3377.7214735443163,403.64567390111876,148.6367460920965,-159.00668647435248,-92.64507083220474,18.80412465795028,-90.95768150327973,30.348668230350285
390,wikimedia-en,2,405,586.9828010464892,3573.9789428099652,491.219127338408,179.8772027831165,-289.37971444375535,34.463021445692746,-107.99619262438951,-87.31737646925336,24.463587581997167
390,wikimedia-en,3,423,1238.9296263205526,158.78677137664556,757.6368813958169,246.78692975148817,-488.9626454787565,99.91099624438007,-236.0759473116067,-118.72004724462985,115.00919565644729
932,fineweb-edu-sample,0,755,148.41320162135244,-2880.6439545270446,-335.39303870600247,-92.19438351608397,37.12435904233113,-79.00698231144668,-76.18781947265458,166.1385274130668,150.0926633498645
932,fineweb-edu-sample,1,685,223.87566176365763,-2735.6858958948656,-370.2383804725573,-102.15498297042937,69.44732287125369,-55.71618904369636,-92.98076841023301,171.0011374091264,142.7233235016422
932,fineweb-edu-sample,2,690,339.2186673813972,-2955.490413205529,-390.7488187713713,-101.42169678878784,58.38862654589137,-61.077694365170466,-109.0870593528048,172.6816492573102,153.43052148907472
932,fineweb-edu-sample,3,688,590.3091877782067,-3184.7876082189478,-414.62662599336585,-108.40973255027815,75.6828977147032,-51.37356755225374,-102.7655896610889,195.63339349638133,151.39618157103868
932,wikimedia-en,0,591,148.0448313033722,-1293.4860886612946,142.96951494395512,-44.8643983685716,174.1767365566881,11.779910746751009,-205.15836092989892,202.14527616599662,153.46474414752456
932,wikimedia-en,1,568,223.28755359918298,-1443.17724376772,119.91169683928709,-61.08795788243186,168.73014654808128,12.671246223604431,-225.6156085362775,218.94737815106882,137.6422110191957
932,wikimedia-en,2,476,336.6694928337546,-2031.8310191188903,88.84073183993182,-77.47286726541897,197.43675556991008,-32.85680834370793,-185.8834780779015,202.09831695609103,168.45499117779536
932,wikimedia-en,3,362,574.2140204498122,-2730.078793857242,27.403497051174636,-66.71102356776606,258.1630297036804,-49.3109216759497,-174.5199645885567,243.8704609131286,125.59415408735201
1734,fineweb-edu-sample,0,508,114.7682922843873,-528.4642059923783,-280.7054699715149,234.0035675754943,67.43779465983586,-126.60616200133241,-102.72559725589758,-15.47554869434079,141.87749884523595
