n_low,n_high,documents_low,documents_high,assignment_rate,document_p,document_null_mean,document_null_p95,document_movable_fraction,token_identity_p,token_identity_null_mean,token_identity_null_p95,token_identity_movable_fraction,js_ci_low,js_ci_high,js_bootstrap_se,js_bootstrap_bias,js_bootstrap_percentile_low,js_bootstrap_percentile_high,bootstrap_valid,null_excess,null_excess_kind,js_bits,neighbor_jaccard,shared_rank_spearman,shared_neighbors,cosine,conditional_l1,conditional_mass_change,status,partner_count,feature_id,candidate_id,role,discovery_delta_bic
40470.0,22060.0,5778.0,4877.0,0.6771720613287905,0.0001,0.02282178983051958,0.023085084388525145,0.3016791939868863,0.0001,0.018238959364853,0.018509986852244413,0.42200543739005275,0.029272668906857303,0.031839296095052566,0.0006547518337232811,0.004928970631806674,0.03428082812773308,0.03674594757710251,1000.0,0.007734192670435354,document,0.030555982500954933,0.5384615384615384,0.8373626373626375,14.0,0.9364343825002631,19.980358350577454,1.2678242571812106,ok,21987.0,4729,1247,weak_control,29562.311871379163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insufficient_matched_regime_support,,8236,4714,weak_control,20684.130366296355
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insufficient_matched_regime_support,,12990,129,weak_control,25398.112291760383
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insufficient_matched_regime_support,,4922,1827,weak_control,17617.003437996922
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insufficient_matched_regime_support,,1392,2193,weak_control,18039.226188440472
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insufficient_matched_regime_support,,11191,6846,weak_control,15461.881605134953
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insufficient_matched_regime_support,,2780,7122,weak_control,14367.95607082422
19587.0,9913.0,4136.0,2444.0,0.6775637439053632,0.0001,0.025487536811156432,0.025937238039280684,0.31745762711864406,0.0001,0.021818961026243384,0.022242269873267294,0.5027118644067796,0.037353330564927234,0.0408632610300118,0.0008953904247664708,0.007614505033269561,0.04495003715720755,0.048570318613771535,1000.0,0.013620758986313083,document,0.039108295797469515,0.48148148148148145,0.23626373626373626,13.0,0.9396187817757758,22.40946814711794,1.5757230345420368,ok,15065.0,1766,14064,weak_control,16169.912030236206
20005.0,10511.0,5036.0,3316.0,0.6686590669124358,0.0001,0.028473904221889897,0.02894180772584544,0.2167715296893433,0.0001,0.021245838648280023,0.021633668757631615,0.6140057674662472,0.03737396571475458,0.041003896106504935,0.0009260026509567247,0.007800597754120134,0.0452621574541713,0.048797037168843524,1000.0,0.01071502668873986,document,0.039188930910629756,0.6,0.8428571428571429,15.0,0.9368778834913939,22.270975929312314,1.188647481836135,ok,15933.0,9349,34492,weak_control,20497.933301647772
14728.0,7797.0,3830.0,2184.0,0.6991475560402973,0.0001,0.021714752876667624,0.02217509539382171,0.25669256381798,0.0001,0.026141643053338333,0.026499574506557214,0.28874583795782466,0.02978379664037779,0.034488358568140164,0.0012001433489189721,0.009727727279908997,0.03978223914625388,0.04421695850083326,1000.0,0.010421324727591351,document,0.032136077604258975,0.48148148148148145,0.8846153846153846,13.0,0.9628738116918037,17.69152814175176,0.9373217822116686,ok,12566.0,28540,6629,weak_control,9990.257932425508
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insufficient_matched_regime_support,,15066,21515,weak_control,11232.43211488671
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insufficient_matched_regime_support,,1702,2241,weak_control,13707.618012871058
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insufficient_matched_regime_support,,11119,25249,weak_control,9775.52229270118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insufficient_matched_regime_support,,9355,11908,weak_control,10764.596085778921
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insufficient_matched_regime_support,,18562,157,weak_control,10766.253366898509
