feature_id,text_id,duplicate_group,source,split,direction,fraction_small,energy_small,odd_fraction_small,k_digit_small,k_word_small,native_k_digit_small,native_k_word_small,fraction_large,energy_large,odd_fraction_large,k_digit_large,k_word_large,native_k_digit_large,native_k_word_large,relative_discrepancy
28027,3,3,fineweb-edu-sample,check,learned,0.005,1.592793239524326e-06,0.9927734713407563,-1.092672348022461,-2.2652149200439453,-4.205358037146294e-07,-8.718111872338412e-07,0.01,6.133752663117775e-06,0.9755071765254311,-1.0524988174438477,-2.208113670349121,-4.0507425387262307e-07,-8.498346816720577e-07,0.02814589628298241
28027,3,3,fineweb-edu-sample,check,random_0,0.005,6.079729928387678e-07,0.9960801776510545,0.8120536804199219,1.3277530670166016,3.1253435466987296e-07,5.110111042737882e-07,0.01,2.395736132143611e-06,0.9842516081047641,0.8069276809692383,1.306474208831787,3.1056151596599675e-07,5.028215296542091e-07,0.014157669368953603
28027,3,3,fineweb-edu-sample,check,random_1,0.005,7.894018949627934e-08,0.9214877364614661,-0.14388561248779297,-0.519871711730957,-5.537712361810579e-08,-2.0008254854893072e-07,0.01,3.47554845347986e-07,0.7903780545756269,-0.1392960548400879,-0.5052685737609863,-5.361074477858874e-08,-1.9446225224137644e-07,0.028785863181796514
28027,3,3,fineweb-edu-sample,check,random_2,0.005,1.0262578058473082e-06,0.9988513181750097,0.29015541076660156,2.0040273666381836,1.1167184663336331e-07,7.712881732758712e-07,0.01,3.981884063364305e-06,0.9966338753007443,0.28133392333984375,1.9721388816833496,1.0827672886390196e-07,7.590152813389669e-07,0.01647295471880383
28027,3,3,fineweb-edu-sample,check,approx_spectrum_matched,0.005,9.761570964883504e-07,0.9972509806204599,0.8182525634765625,1.795649528503418,3.149201131024674e-07,6.910899859648114e-07,0.01,3.852272314475158e-06,0.9939057791021614,0.8141398429870605,1.779317855834961,3.1333725414238064e-07,6.848044300943223e-07,0.008570709150108146
28027,3,3,fineweb-edu-sample,check,leading_pc,0.005,5.988645099819223e-06,0.9935224852287873,0.43833255767822266,4.858732223510742,1.6870064916634218e-07,1.869975811455473e-06,0.01,2.4631669290897662e-05,0.9813935351402759,0.3993511199951172,4.90039587020874,1.5369789902291167e-07,1.886010860920699e-06,0.011649944349534999
28027,3,3,fineweb-edu-sample,check,shuffled_labels,0.005,2.2080325834394898e-07,0.993183846100774,-0.6127357482910156,0.7083415985107422,-2.358230450679899e-07,2.7261878089377353e-07,0.01,9.321488363411845e-07,0.9851023779668865,-0.6235241889953613,0.7276535034179688,-2.3997518234010136e-07,2.800513360107023e-07,0.023348638671474527
28027,173,173,fineweb-edu-sample,fit,learned,0.005,6.636943226112635e-07,0.9990688459599546,-1.1439323425292969,1.1591911315917969,-3.8874276604609485e-07,3.9392816350898563e-07,0.01,2.651729460012575e-06,0.9960381325349063,-1.1475086212158203,1.1508464813232422,-3.8995809357645976e-07,3.910923992714671e-07,0.005580417426456412
28027,173,173,fineweb-edu-sample,fit,random_0,0.005,1.3521844266506378e-07,0.9976731848319397,0.16117095947265625,0.7166862487792969,5.477076070178408e-08,2.435516370851523e-07,0.01,5.553075652642292e-07,0.990090360662638,0.16188621520996094,0.7236003875732422,5.501382620785709e-08,2.459012703105247e-07,0.009418281097197358
28027,173,173,fineweb-edu-sample,fit,random_1,0.005,3.6939934489055304e-07,0.9935881002230962,-0.5221366882324219,1.0933876037597656,-1.7743781943329458e-07,3.7156613695026895e-07,0.01,1.5038582432680414e-06,0.9733543658689014,-0.5118846893310547,1.0962486267089844,-1.739538805129148e-07,3.725383989745609e-07,0.008790903892078471
28027,173,173,fineweb-edu-sample,fit,random_2,0.005,4.041703505208716e-08,0.9970071333738383,-0.0476837158203125,0.3986358642578125,-1.620436707153375e-08,1.3546850871802218e-07,0.01,1.6053826357165235e-07,0.9877542251503867,-0.039458274841308594,0.3962516784667969,-1.340911375169418e-08,1.346582903644455e-07,0.0214183428184103
28027,173,173,fineweb-edu-sample,fit,approx_spectrum_matched,0.005,1.2626730949705234e-07,0.9909544693735881,-0.7033348083496094,0.0762939453125,-2.3901441430512286e-07,2.5926987314454004e-08,0.01,5.35044591742917e-07,0.9613043319361996,-0.7143020629882812,0.06413459777832031,-2.427414187315756e-07,2.1794873711212895e-08,0.022987887421819855
28027,173,173,fineweb-edu-sample,fit,leading_pc,0.005,2.5670972831903782e-06,0.9993447920481041,-1.8985271453857422,2.5801658630371094,-6.451768749531164e-07,8.768183022406913e-07,0.01,1.0161375257666805e-05,0.9974675656527031,-1.9078254699707031,2.548694610595703,-6.483367265320655e-07,8.661234199734791e-07,0.010275857943068501
28027,173,173,fineweb-edu-sample,fit,shuffled_labels,0.005,6.385706683431636e-07,0.9972140460433259,1.0247230529785156,-1.2235641479492188,3.482318483672603e-07,-4.1580405905555606e-07,0.01,2.5882978889057995e-06,0.9891588708858107,1.0271072387695312,-1.2269020080566406,3.4904206672083704e-07,-4.1693836475056343e-07,0.0025668540887600092
28027,258,258,fineweb-edu-sample,check,learned,0.005,1.6530290878336018e-06,0.9786515216810886,-1.4767646789550781,2.071261405944824,-7.795271239515778e-07,1.0933390199110965e-06,0.01,6.9087259078060015e-06,0.9188898499794612,-1.4410018920898438,2.0668506622314453,-7.606493279243359e-07,1.0910107584010702e-06,0.01423302050323859
28027,258,258,fineweb-edu-sample,check,random_0,0.005,8.646706248782721e-07,0.9843336398021056,0.6306171417236328,-1.734018325805664,3.3287846994703313e-07,-9.153214033742049e-07,0.01,3.5579748498548724e-06,0.9374009701521133,0.6099939346313477,-1.7213821411132812,3.219922742379903e-07,-9.086512487779128e-07,0.013175681991775715
28027,258,258,fineweb-edu-sample,check,random_1,0.005,2.5795669387207454e-06,0.9978819737581052,1.0662078857421875,3.0264854431152344,5.628100255588401e-07,1.5975649517987292e-06,0.01,1.012960041180122e-05,0.9922344968820884,1.0451078414916992,2.9931068420410156,5.516721259027674e-07,1.5799456755066368e-06,0.012380544823255683
28027,258,258,fineweb-edu-sample,check,random_2,0.005,9.27016102991729e-07,0.9807237511638863,-0.7309913635253906,-1.761317253112793,-3.858621507968256e-07,-9.297314543416663e-07,0.01,3.8711929732926365e-06,0.9220346317307876,-0.7511377334594727,-1.733541488647461,-3.964966425588385e-07,-9.150696994271749e-07,0.018077156947207025
28027,258,258,fineweb-edu-sample,check,approx_spectrum_matched,0.005,6.927053988192711e-07,0.9601265695799526,-0.7543563842773438,-1.4461278915405273,-3.981956442012903e-07,-7.633551453549072e-07,0.01,3.073527466312953e-06,0.8670674894854485,-0.7277727127075195,-1.4612674713134766,-3.841631491543738e-07,-7.713467456731063e-07,0.018748113089085333
28027,258,258,fineweb-edu-sample,check,leading_pc,0.005,8.169424347670429e-06,0.9890304875658853,-5.359888076782227,-1.8949508666992188,-2.8292782165895103e-06,-1.0002714854967941e-06,0.01,3.381140824387785e-05,0.9567083435981047,-5.42449951171875,-1.7095208168029785,-2.8633841014120606e-06,-9.023901130955444e-07,0.03453317832177533
28027,258,258,fineweb-edu-sample,check,shuffled_labels,0.005,1.8036382840591614e-06,0.9921391299342267,-1.070261001586914,2.4520158767700195,-5.649495091085943e-07,1.294324621614466e-06,0.01,7.187833801935994e-06,0.973389521705465,-1.0570287704467773,2.4247169494628906,-5.579647245785148e-07,1.2799145706470046e-06,0.011403718814423126
