feature_id,direction,calibration,duplicate_group,source,zero_mse,fitted_mse
1645,leading_pc,wikimedia-en,2145,fineweb-edu-sample,66.90702960554518,79.98257017930582
1645,leading_pc,wikimedia-en,3039,fineweb-edu-sample,1.3646920149490427,3.969922652648228
1645,leading_pc,wikimedia-en,3941,fineweb-edu-sample,21.176167814829228,25.515430180401978
1645,leading_pc,wikimedia-en,4577,fineweb-edu-sample,2428.559733864688,2394.963798310647
1645,leading_pc,wikimedia-en,4759,fineweb-edu-sample,7.060848989937085,4.511799910268676
1645,leading_pc,wikimedia-en,5639,fineweb-edu-sample,77.24046363932757,80.22094248786443
1645,learned,pooled,1506,fineweb-edu-sample,76.69828114842403,60.62979511981155
1645,learned,pooled,1760,fineweb-edu-sample,17.484524196920148,6.924539005944211
1645,learned,pooled,2145,fineweb-edu-sample,3.95461988667023,1.8313801977438287
1645,learned,pooled,3039,fineweb-edu-sample,49.21149991510276,35.636588400585545
1645,learned,pooled,3941,fineweb-edu-sample,28.71620639588457,44.43658201594598
1645,learned,pooled,4577,fineweb-edu-sample,1474.2376851089034,1596.8899579499612
1645,learned,pooled,4759,fineweb-edu-sample,8.302287931361008,23.100080644407676
1645,learned,pooled,5639,fineweb-edu-sample,307.8320513694166,288.89498151521593
1645,learned,pooled,10203,wikimedia-en,81.9991006792975,105.35802806879886
1645,learned,pooled,10223,wikimedia-en,30.505796679847208,27.956381345924445
1645,learned,pooled,11372,wikimedia-en,24.22418842940033,9.379932509852654
1645,learned,pooled,11751,wikimedia-en,75.31208717637128,45.444571250137855
1645,learned,pooled,11822,wikimedia-en,77.16778677746561,61.34273084515591
1645,learned,pooled,6331,wikimedia-en,11.270074743663372,3.688462217240132
1645,learned,pooled,6355,wikimedia-en,3.100624725860257,4.882842855965033
1645,learned,pooled,6924,wikimedia-en,5.914558087738442,0.6023804302330432
1645,learned,fineweb-edu-sample,10203,wikimedia-en,81.9991006792975,91.86787806728103
1645,learned,fineweb-edu-sample,10223,wikimedia-en,30.505796679847208,35.4877437789558
1645,learned,fineweb-edu-sample,11372,wikimedia-en,24.22418842940033,21.5078296903759
1645,learned,fineweb-edu-sample,11751,wikimedia-en,75.31208717637128,72.7039206205593
1645,learned,fineweb-edu-sample,11822,wikimedia-en,77.16778677746561,68.21770797918458
1645,learned,fineweb-edu-sample,6331,wikimedia-en,11.270074743663372,8.747733671460312
1645,learned,fineweb-edu-sample,6355,wikimedia-en,3.100624725860257,1.4919081630371256
1645,learned,fineweb-edu-sample,6924,wikimedia-en,5.914558087738442,5.961044005770022
1645,learned,wikimedia-en,1506,fineweb-edu-sample,76.69828114842403,45.69290398218767
1645,learned,wikimedia-en,1760,fineweb-edu-sample,17.484524196920148,2.1343545653432217
1645,learned,wikimedia-en,2145,fineweb-edu-sample,3.95461988667023,5.310259653258653
1645,learned,wikimedia-en,3039,fineweb-edu-sample,49.21149991510276,24.66085635980525
1645,learned,wikimedia-en,3941,fineweb-edu-sample,28.71620639588457,69.67707072706025
1645,learned,wikimedia-en,4577,fineweb-edu-sample,1474.2376851089034,1737.186623428956
1645,learned,wikimedia-en,4759,fineweb-edu-sample,8.302287931361008,42.598224497182585
1645,learned,wikimedia-en,5639,fineweb-edu-sample,307.8320513694166,295.2604334235734
1645,random_0,pooled,1506,fineweb-edu-sample,65.66084474179945,54.681267849092734
1645,random_0,pooled,1760,fineweb-edu-sample,25.897796487317493,28.667523966146092
1645,random_0,pooled,2145,fineweb-edu-sample,3.5429790057328603,1.3415207468937123
1645,random_0,pooled,3039,fineweb-edu-sample,2.865839807686399,6.758020525758981
1645,random_0,pooled,3941,fineweb-edu-sample,3.978865047216118,1.2580231387327583
1645,random_0,pooled,4577,fineweb-edu-sample,320.76628006194596,355.1752657417629
1645,random_0,pooled,4759,fineweb-edu-sample,10.745415667035019,6.951369314183234
1645,random_0,pooled,5639,fineweb-edu-sample,137.07193070899848,113.20566764756907
1645,random_0,pooled,10203,wikimedia-en,13.598961238869833,7.803461036641826
1645,random_0,pooled,10223,wikimedia-en,17.158346750534292,20.685157144666526
