feature_id,control,endpoint,mean,low,high,documents,leave_one_out_min,leave_one_out_max
1645,mean_random,interaction_norm,0.002742346292604501,0.0010540595716831728,0.005180351957492876,16,0.0017500147179190715,0.0029564960386765965
1645,mean_random,beyond_gain_norm,0.0013544545975620159,-7.1586965543744e-05,0.0030807744811132405,16,0.000680458618523392,0.0015765623566800409
2966,mean_random,interaction_norm,-4.657928605038152e-05,-0.00011350872031664067,1.976090143337077e-05,16,-6.341668636638386e-05,-3.082060296974683e-05
2966,mean_random,beyond_gain_norm,-1.333702726304961e-06,-7.507296523320421e-05,7.389481349476316e-05,16,-2.43411861506389e-05,1.2071681168869032e-05
28027,mean_random,interaction_norm,0.0005361174659213236,-1.8251696585714895e-06,0.0010704889386172487,16,0.0003764139138017621,0.0006804882033204152
28027,mean_random,beyond_gain_norm,0.0004898699043379286,-4.717138435140859e-05,0.0011005216349269647,16,0.0003287674861651945,0.0006226506277849119
1645,leading_pc,interaction_norm,0.0005293345162828132,-0.001447817265784187,0.0024454140998583147,16,2.8428480823824986e-05,0.0011198080435988417
1645,leading_pc,beyond_gain_norm,0.0016619656706883864,-0.000522643881081325,0.00475883962863348,16,0.0003468307075053324,0.002020237177447488
2966,leading_pc,interaction_norm,-0.00013245161483138585,-0.00022727981457508034,-4.9529422378595715e-05,16,-0.00015069077953205396,-9.86563751558224e-05
2966,leading_pc,beyond_gain_norm,-9.957947306535358e-05,-0.0002449506775854337,2.1189775544851145e-05,16,-0.00012361477598284466,-4.810163328066261e-05
28027,leading_pc,interaction_norm,-0.0003137338965841539,-0.0009814740681758217,0.00037560510304205123,16,-0.0004946192983974625,-0.00017620931161474088
28027,leading_pc,beyond_gain_norm,2.262083570155277e-05,-0.0005831684919728431,0.0006187208206289865,16,-0.00014875680722202379,0.00023466024167002373
1645,approx_spectrum_matched,interaction_norm,0.004601856136173581,0.0027258732177458354,0.007579159840401413,16,0.003419962144832776,0.004848630926788637
1645,approx_spectrum_matched,beyond_gain_norm,0.0020050113123137258,0.0006647340771429861,0.0036837495275634817,16,0.0013485771437105698,0.002266027440699141
2966,approx_spectrum_matched,interaction_norm,-0.000178080320523269,-0.00029406737305173204,-6.033582807488855e-05,16,-0.00020675456408342195,-0.00014723232857774017
2966,approx_spectrum_matched,beyond_gain_norm,-0.00013540975106259302,-0.000255039837952619,-2.0185790867080464e-05,16,-0.0001626516587007009,-0.00010118504963637302
28027,approx_spectrum_matched,interaction_norm,0.000595986212583075,9.804325265981088e-05,0.0011301959301777303,16,0.0004169877594252433,0.0007213461159440942
28027,approx_spectrum_matched,beyond_gain_norm,0.0007234966874509616,0.0002137331606794425,0.0012961162852301075,16,0.0005519419459420675,0.0007989446917492214
1645,shuffled_labels,interaction_norm,0.0040594621109086276,0.001589294271034552,0.008110011585709944,16,0.002432053515632747,0.004368245279395289
1645,shuffled_labels,beyond_gain_norm,0.001992773135742418,0.00037280128789231597,0.004430275875460712,16,0.0009439845686925357,0.002258684188388966
2966,shuffled_labels,interaction_norm,4.357683057824261e-05,-4.996639609779017e-05,0.00013866788148651698,16,1.3648483307095107e-05,6.764319619641207e-05
2966,shuffled_labels,beyond_gain_norm,1.8853392467932323e-05,-5.418696974116062e-05,0.00010249129928924637,16,-9.984849612584765e-06,3.7539045267225285e-05
28027,shuffled_labels,interaction_norm,0.0008581175829080925,0.00015630831891417786,0.0016635278267420907,16,0.0005604819799045036,0.001051769813712457
28027,shuffled_labels,beyond_gain_norm,0.0007802443932748799,0.0001692869384427813,0.0015309392507303224,16,0.0005109906265254248,0.0008730936131989654
